record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	0045246c	FUN_0045246c			unknown		undefined FUN_0045246c(void)
incoming	0045246c	FUN_0045246c	00453f7a	0045246c	UNCONDITIONAL_CALL	FUN_00453c59	
incoming	0045246c	FUN_0045246c	00454384	0045246c	UNCONDITIONAL_CALL	FUN_004541f3	
caller	0045246c	FUN_0045246c	00453c59	0045246c	call	FUN_00453c59	
caller	0045246c	FUN_0045246c	004541f3	0045246c	call	FUN_004541f3	
callee	0045246c	FUN_0045246c	0045246c	0044eecf	call	FUN_0044eecf	
function	00452210	FUN_00452210			unknown		undefined FUN_00452210(void)
incoming	00452210	FUN_00452210	00453f02	00452210	UNCONDITIONAL_CALL	FUN_00453c59	
incoming	00452210	FUN_00452210	0045431b	00452210	UNCONDITIONAL_CALL	FUN_004541f3	
caller	00452210	FUN_00452210	00453c59	00452210	call	FUN_00453c59	
caller	00452210	FUN_00452210	004541f3	00452210	call	FUN_004541f3	
callee	00452210	FUN_00452210	00452210	00447469	call	FUN_00447469	
function	0044eecf	FUN_0044eecf			unknown		undefined FUN_0044eecf(void)
incoming	0044eecf	FUN_0044eecf	00441541	0044eecf	UNCONDITIONAL_CALL	FUN_00435b13	
incoming	0044eecf	FUN_0044eecf	00452488	0044eecf	UNCONDITIONAL_CALL	FUN_0045246c	
incoming	0044eecf	FUN_0044eecf	0046a57f	0044eecf	UNCONDITIONAL_CALL	FUN_004662c5	
caller	0044eecf	FUN_0044eecf	00435b13	0044eecf	call	FUN_00435b13	
caller	0044eecf	FUN_0044eecf	0045246c	0044eecf	call	FUN_0045246c	
caller	0044eecf	FUN_0044eecf	004662c5	0044eecf	call	FUN_004662c5	
function	00447469	FUN_00447469			unknown		undefined FUN_00447469(void)
incoming	00447469	FUN_00447469	00437340	00447469	UNCONDITIONAL_CALL	FUN_00435b13	
incoming	00447469	FUN_00447469	0045225d	00447469	UNCONDITIONAL_CALL	FUN_00452210	
caller	00447469	FUN_00447469	00435b13	00447469	call	FUN_00435b13	
caller	00447469	FUN_00447469	00452210	00447469	call	FUN_00452210	
reference	00447469	FUN_00447469	0044748e	005b892c	READ	DAT_005b892c	0x2
reference	00447469	FUN_00447469	004474b4	005a3f84	READ	DAT_005a3f84	
reference	00447469	FUN_00447469	004474bd	005a3660	READ	DAT_005a3660	
reference	00447469	FUN_00447469	004474c5	005a4350	READ	DAT_005a4350	
reference	00447469	FUN_00447469	004474f4	005a3f84	READ	DAT_005a3f84	
reference	00447469	FUN_00447469	004474fd	005a3660	READ	DAT_005a3660	
reference	00447469	FUN_00447469	0044753e	005a434c	READ	DAT_005a434c	
reference	00447469	FUN_00447469	0044756d	005a418c	READ	DAT_005a418c	
function	0044dc1f	FUN_0044dc1f			unknown		undefined FUN_0044dc1f(void)
incoming	0044dc1f	FUN_0044dc1f	0045c67f	0044dc1f	UNCONDITIONAL_CALL	FUN_004595ec	
incoming	0044dc1f	FUN_0044dc1f	0045cbbf	0044dc1f	UNCONDITIONAL_CALL	FUN_004595ec	
incoming	0044dc1f	FUN_0044dc1f	0045e2da	0044dc1f	UNCONDITIONAL_CALL	FUN_004595ec	
incoming	0044dc1f	FUN_0044dc1f	004580e0	0044dc1f	UNCONDITIONAL_CALL	FUN_00456589	
incoming	0044dc1f	FUN_0044dc1f	00459516	0044dc1f	UNCONDITIONAL_CALL	FUN_00456589	
caller	0044dc1f	FUN_0044dc1f	00456589	0044dc1f	call	FUN_00456589	
caller	0044dc1f	FUN_0044dc1f	004595ec	0044dc1f	call	FUN_004595ec	
reference	0044dc1f	FUN_0044dc1f	0044dc67	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dc76	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dc88	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dc99	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dca8	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dcb4	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dcc5	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dcf4	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dd2a	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044dd92	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044ddaa	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044ddbb	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044de35	013b71e8	READ	DAT_013b71e8	0x0
reference	0044dc1f	FUN_0044dc1f	0044de5a	005b892c	READ	DAT_005b892c	0x2
reference	0044dc1f	FUN_0044dc1f	0044de85	005b892c	READ	DAT_005b892c	0x2
