record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	00484d44	FUN_00484d44			unknown		undefined FUN_00484d44(void)
incoming	00484d44	FUN_00484d44	00493037	00484d44	UNCONDITIONAL_CALL	FUN_00492e7d	
caller	00484d44	FUN_00484d44	00492e7d	00484d44	call	FUN_00492e7d	
callee	00484d44	FUN_00484d44	00484d44	00403df2	call	FUN_00403df2	
callee	00484d44	FUN_00484d44	00484d44	00423f37	call	FUN_00423f37	
callee	00484d44	FUN_00484d44	00484d44	00494d83	call	FUN_00494d83	
callee	00484d44	FUN_00484d44	00484d44	0055f2dd	call	FUN_0055f2dd	
callee	00484d44	FUN_00484d44	00484d44	0058ef10	call	_strlen	
callee	00484d44	FUN_00484d44	00484d44	0058f020	call	_memset	
callee	00484d44	FUN_00484d44	00484d44	0058f078	call	FUN_0058f078	
callee	00484d44	FUN_00484d44	00484d44	0058f0f0	call	_strncpy	
callee	00484d44	FUN_00484d44	00484d44	0058f220	call	FUN_0058f220	
callee	00484d44	FUN_00484d44	00484d44	0058fe9e	call	_malloc	
callee	00484d44	FUN_00484d44	00484d44	0058ffd8	call	FUN_0058ffd8	
callee	00484d44	FUN_00484d44	00484d44	005909d2	call	FUN_005909d2	
callee	00484d44	FUN_00484d44	00484d44	0059dca8	call	GetAdaptersInfo	
reference	00484d44	FUN_00484d44	00484d5c	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	00484d6e	013b71e4	READ	DAT_013b71e4	0x0
reference	00484d44	FUN_00484d44	00484d87	00a344f8	DATA	DAT_00a344f8	
reference	00484d44	FUN_00484d44	00484dc1	005d04e0	WRITE	DAT_005d04e0	0x0
reference	00484d44	FUN_00484d44	00484ddc	005b8870	DATA	PTR_DAT_005b8870	0064252a
reference	00484d44	FUN_00484d44	00484df3	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	00484e05	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	00484e27	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	00484e4d	009325f8	DATA	DAT_009325f8	
reference	00484d44	FUN_00484d44	00484e55	005b8874	DATA	DAT_005b8874	
reference	00484d44	FUN_00484d44	00484e5a	013b71e0	READ	DAT_013b71e0	0x0
reference	00484d44	FUN_00484d44	00484e78	013b71e0	READ	DAT_013b71e0	0x0
reference	00484d44	FUN_00484d44	00484e81	013b71e4	READ	DAT_013b71e4	0x0
reference	00484d44	FUN_00484d44	00484e95	00a34578	DATA	DAT_00a34578	
reference	00484d44	FUN_00484d44	00484ee0	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	00484ee8	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	004850e5	005b8878	DATA	s_%x_%x_%x_%x_005b8878	%x %x %x %x
reference	00484d44	FUN_00484d44	0048513e	005d04d0	DATA	DAT_005d04d0	
reference	00484d44	FUN_00484d44	0048516e	013b71e8	READ	DAT_013b71e8	0x0
reference	00484d44	FUN_00484d44	0048517c	013b71e4	READ	DAT_013b71e4	0x0
instruction	00484d44	FUN_00484d44	00484d44	00484d45	FALL_THROUGH	FUN_00484d44	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=00484d45
instruction	00484d44	FUN_00484d44	00484d45	00484d47	FALL_THROUGH	FUN_00484d44	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=00484d47
instruction	00484d44	FUN_00484d44	00484d47	00484d4d	FALL_THROUGH	FUN_00484d44	bytes=81EC20040000;mnemonic=SUB;instruction=SUB ESP,0x420;inputs=ESP,0x420,0x0,0x1,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=00484d4d
instruction	00484d44	FUN_00484d44	00484d4d	00484d53	FALL_THROUGH	FUN_00484d44	bytes=898DE0FBFFFF;mnemonic=MOV;instruction=MOV dword ptr [EBP + 0xfffffbe0],ECX;inputs=EBP,ECX,0xfffffbe0;results=;flows=;fallthrough=00484d53
instruction_reference	00484d44	FUN_00484d44	00484d4d	Stack[-0x424]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	00484d44	FUN_00484d44	00484d53	00484d56	FALL_THROUGH	FUN_00484d44	bytes=8B4508;mnemonic=MOV;instruction=MOV EAX,dword ptr [EBP + 0x8];inputs=EBP,0x8;results=EAX;flows=;fallthrough=00484d56
instruction_reference	00484d44	FUN_00484d44	00484d53	Stack[0x4]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	00484d44	FUN_00484d44	00484d56	00484d58	FALL_THROUGH	FUN_00484d44	bytes=33C9;mnemonic=XOR;instruction=XOR ECX,ECX;inputs=0x0,0x1,ECX,0xff;results=CF,PF,ECX,ZF,SF,OF;flows=;fallthrough=00484d58
