record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	00455950	FUN_00455950			unknown		undefined FUN_00455950(void)
incoming	00455950	FUN_00455950	004545ec	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	00454604	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	0045461c	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	00454634	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	0045464c	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	00454664	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	0045467c	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	00454694	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	004546ac	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	004546c4	00455950	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00455950	FUN_00455950	004557df	00455950	UNCONDITIONAL_CALL	FUN_00454763	
caller	00455950	FUN_00455950	004541f3	00455950	call	FUN_004541f3	
caller	00455950	FUN_00455950	00454763	00455950	call	FUN_00454763	
callee	00455950	FUN_00455950	00455950	0055f2dd	call	FUN_0055f2dd	
callee	00455950	FUN_00455950	00455950	0058f020	call	_memset	
reference	00455950	FUN_00455950	0045596d	0092e654	READ	DAT_0092e654	0x0
reference	00455950	FUN_00455950	00455974	0092e654	READ	DAT_0092e654	0x0
reference	00455950	FUN_00455950	004559a1	013b722c	READ	DAT_013b722c	0x0
reference	00455950	FUN_00455950	00455a77	013b71e8	READ	DAT_013b71e8	0x0
function	004625da	FUN_004625da			unknown		undefined FUN_004625da(void)
incoming	004625da	FUN_004625da	005a429c	004625da	DATA		
callee	004625da	FUN_004625da	004625da	EXTERNAL:00000080	call	PtInRect	
callee	004625da	FUN_004625da	004625da	00403df2	call	FUN_00403df2	
callee	004625da	FUN_004625da	004625da	0040c0f0	call	FUN_0040c0f0	
callee	004625da	FUN_004625da	004625da	00430f20	call	FUN_00430f20	
callee	004625da	FUN_004625da	004625da	00430f50	call	FUN_00430f50	
callee	004625da	FUN_004625da	004625da	004310a0	call	FUN_004310a0	
callee	004625da	FUN_004625da	004625da	004470b9	call	FUN_004470b9	
callee	004625da	FUN_004625da	004625da	004560be	call	FUN_004560be	
callee	004625da	FUN_004625da	004625da	004561e0	call	FUN_004561e0	
callee	004625da	FUN_004625da	004625da	004595ec	call	FUN_004595ec	
callee	004625da	FUN_004625da	004625da	0045e762	call	FUN_0045e762	
callee	004625da	FUN_004625da	004625da	0045ee28	call	FUN_0045ee28	
callee	004625da	FUN_004625da	004625da	0046087b	call	FUN_0046087b	
callee	004625da	FUN_004625da	004625da	00461ed8	call	FUN_00461ed8	
callee	004625da	FUN_004625da	004625da	0046247e	call	FUN_0046247e	
callee	004625da	FUN_004625da	004625da	0049ab73	call	FUN_0049ab73	
callee	004625da	FUN_004625da	004625da	0049bcb8	call	FUN_0049bcb8	
callee	004625da	FUN_004625da	004625da	0049c70f	call	FUN_0049c70f	
callee	004625da	FUN_004625da	004625da	004b3962	call	FUN_004b3962	
callee	004625da	FUN_004625da	004625da	004fa8a1	call	FUN_004fa8a1	
callee	004625da	FUN_004625da	004625da	0055f2dd	call	FUN_0055f2dd	
callee	004625da	FUN_004625da	004625da	0058f020	call	_memset	
callee	004625da	FUN_004625da	004625da	0058f078	call	FUN_0058f078	
callee	004625da	FUN_004625da	004625da	0058f1f0	call	__ftol	
callee	004625da	FUN_004625da	004625da	005910c4	call	FUN_005910c4	
reference	004625da	FUN_004625da	004625e9	0092e654	READ	DAT_0092e654	0x0
reference	004625da	FUN_004625da	004625f0	0092e654	READ	DAT_0092e654	0x0
reference	004625da	FUN_004625da	004625fc	013b7220	READ	DAT_013b7220	0x0
reference	004625da	FUN_004625da	0046275b	013b736c	READ	DAT_013b736c	0x0
reference	004625da	FUN_004625da	00462842	005b892c	READ	DAT_005b892c	0x2
reference	004625da	FUN_004625da	004628fc	005d0504	READ	DAT_005d0504	0x0
reference	004625da	FUN_004625da	00462907	005d0504	READ	DAT_005d0504	0x0
reference	004625da	FUN_004625da	00462967	013b71e8	READ	DAT_013b71e8	0x0
reference	004625da	FUN_004625da	004629aa	013b71e8	READ	DAT_013b71e8	0x0
reference	004625da	FUN_004625da	004629e4	013b71e8	READ	DAT_013b71e8	0x0
reference	004625da	FUN_004625da	00462a3d	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004625da	FUN_004625da	00462a42	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004625da	FUN_004625da	00462a5d	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004625da	FUN_004625da	00462a62	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004625da	FUN_004625da	00462a99	013b71e8	READ	DAT_013b71e8	0x0
