record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	00476006	FUN_00476006			unknown		undefined FUN_00476006(void)
incoming	00476006	FUN_00476006	00477715	00476006	UNCONDITIONAL_CALL	FUN_004776c3	
caller	00476006	FUN_00476006	004776c3	00476006	call	FUN_004776c3	
callee	00476006	FUN_00476006	00476006	EXTERNAL:0000007e	call	PostMessageA	
callee	00476006	FUN_00476006	00476006	00403df2	call	FUN_00403df2	
callee	00476006	FUN_00476006	00476006	00430f50	call	FUN_00430f50	
callee	00476006	FUN_00476006	00476006	004d19a0	call	FUN_004d19a0	
callee	00476006	FUN_00476006	00476006	004ee730	call	FUN_004ee730	
callee	00476006	FUN_00476006	00476006	0051dba4	call	FUN_0051dba4	
callee	00476006	FUN_00476006	00476006	0054ac09	call	FUN_0054ac09	
callee	00476006	FUN_00476006	00476006	0055ee59	call	FUN_0055ee59	
callee	00476006	FUN_00476006	00476006	0055f2dd	call	FUN_0055f2dd	
callee	00476006	FUN_00476006	00476006	0058f020	call	_memset	
callee	00476006	FUN_00476006	00476006	0058f078	call	FUN_0058f078	
callee	00476006	FUN_00476006	00476006	0058f0ca	call	operator_new	
callee	00476006	FUN_00476006	00476006	0058f1f0	call	__ftol	
reference	00476006	FUN_00476006	0047600b	0059f7f9	DATA	LAB_0059f7f9	
reference	00476006	FUN_00476006	00476010	ffdff000	READ	ExceptionList	00000000
reference	00476006	FUN_00476006	00476017	ffdff000	WRITE	ExceptionList	00000000
reference	00476006	FUN_00476006	0047602a	013b7220	READ	DAT_013b7220	0x0
reference	00476006	FUN_00476006	00476037	013b7220	READ	DAT_013b7220	0x0
reference	00476006	FUN_00476006	0047604c	013b71e0	READ	DAT_013b71e0	0x0
reference	00476006	FUN_00476006	00476056	005a32b8	READ	PTR_PostMessageA_005a32b8	001b01a2
reference	00476006	FUN_00476006	00476066	013b7220	READ	DAT_013b7220	0x0
reference	00476006	FUN_00476006	004760c9	00a3b178	DATA	DAT_00a3b178	
reference	00476006	FUN_00476006	0047611e	013b736c	READ	DAT_013b736c	0x0
reference	00476006	FUN_00476006	00476129	013b71e0	READ	DAT_013b71e0	0x0
reference	00476006	FUN_00476006	00476171	013b71e8	READ	DAT_013b71e8	0x0
reference	00476006	FUN_00476006	00476232	00a3b1f8	DATA	DAT_00a3b1f8	
reference	00476006	FUN_00476006	00476287	013b736c	READ	DAT_013b736c	0x0
reference	00476006	FUN_00476006	00476292	013b71e0	READ	DAT_013b71e0	0x0
reference	00476006	FUN_00476006	004762d9	013b71e8	READ	DAT_013b71e8	0x0
reference	00476006	FUN_00476006	004762e1	013b71e8	READ	DAT_013b71e8	0x0
reference	00476006	FUN_00476006	0047636e	00a3b178	DATA	DAT_00a3b178	
reference	00476006	FUN_00476006	004763c3	013b736c	READ	DAT_013b736c	0x0
reference	00476006	FUN_00476006	004763ce	013b71e0	READ	DAT_013b71e0	0x0
reference	00476006	FUN_00476006	0047664f	005a439c	READ	DAT_005a439c	
reference	00476006	FUN_00476006	00476a41	013b71e8	READ	DAT_013b71e8	0x0
reference	00476006	FUN_00476006	00476a5d	005b8688	DATA	PTR_DAT_005b8688	00767273
reference	00476006	FUN_00476006	00476a7e	005b868c	DATA	DAT_005b868c	
reference	00476006	FUN_00476006	00476b70	005a439c	READ	DAT_005a439c	
reference	00476006	FUN_00476006	00476c97	013b71e8	READ	DAT_013b71e8	0x0
reference	00476006	FUN_00476006	00476cb4	005b8690	DATA	DAT_005b8690	
reference	00476006	FUN_00476006	00476cd5	005b8698	DATA	DAT_005b8698	
reference	00476006	FUN_00476006	00476d55	013b71e8	READ	DAT_013b71e8	0x0
reference	00476006	FUN_00476006	00476d72	005b869c	DATA	DAT_005b869c	
reference	00476006	FUN_00476006	00476d93	005b86a4	DATA	DAT_005b86a4	
reference	00476006	FUN_00476006	00476e74	005a439c	READ	DAT_005a439c	
reference	00476006	FUN_00476006	00477046	00a3b0f8	DATA	DAT_00a3b0f8	
reference	00476006	FUN_00476006	004770a0	ffdff000	WRITE	ExceptionList	00000000
function	004776c3	FUN_004776c3			unknown		undefined FUN_004776c3(void)
incoming	004776c3	FUN_004776c3	005a42b4	004776c3	DATA		
callee	004776c3	FUN_004776c3	004776c3	EXTERNAL:00000080	call	PtInRect	
callee	004776c3	FUN_004776c3	004776c3	00403df2	call	FUN_00403df2	
callee	004776c3	FUN_004776c3	004776c3	00407203	call	FUN_00407203	
callee	004776c3	FUN_004776c3	004776c3	00408d33	call	FUN_00408d33	
callee	004776c3	FUN_004776c3	004776c3	0040bd30	call	FUN_0040bd30	
callee	004776c3	FUN_004776c3	004776c3	0040c0f0	call	FUN_0040c0f0	
callee	004776c3	FUN_004776c3	004776c3	00423b00	call	FUN_00423b00	
callee	004776c3	FUN_004776c3	004776c3	004287c2	call	FUN_004287c2	
callee	004776c3	FUN_004776c3	004776c3	00428ba0	call	FUN_00428ba0	
callee	004776c3	FUN_004776c3	004776c3	00428c6e	call	FUN_00428c6e	
callee	004776c3	FUN_004776c3	004776c3	004294a0	call	FUN_004294a0	
