record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	00428d3c	FUN_00428d3c			unknown		undefined FUN_00428d3c(void)
incoming	00428d3c	FUN_00428d3c	00429474	00428d3c	UNCONDITIONAL_CALL	FUN_00429460	
caller	00428d3c	FUN_00428d3c	00429460	00428d3c	call	FUN_00429460	
callee	00428d3c	FUN_00428d3c	00428d3c	EXTERNAL:00000061	call	MultiByteToWideChar	
callee	00428d3c	FUN_00428d3c	00428d3c	00428412	call	FUN_00428412	
callee	00428d3c	FUN_00428d3c	00428d3c	00429320	call	FUN_00429320	
callee	00428d3c	FUN_00428d3c	00428d3c	00429390	call	FUN_00429390	
callee	00428d3c	FUN_00428d3c	00428d3c	004293c0	call	FUN_004293c0	
callee	00428d3c	FUN_00428d3c	00428d3c	00429420	call	FUN_00429420	
callee	00428d3c	FUN_00428d3c	00428d3c	005906a7	call	FUN_005906a7	
reference	00428d3c	FUN_00428d3c	00428e0d	005a3220	READ	PTR_MultiByteToWideChar_005a3220	001afd46
reference	00428d3c	FUN_00428d3c	00428e9f	005b483c	DATA	u_Output_005b483c	Output
instruction	00428d3c	FUN_00428d3c	00428d3c	00428d3d	FALL_THROUGH	FUN_00428d3c	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=00428d3d
instruction	00428d3c	FUN_00428d3c	00428d3d	00428d3f	FALL_THROUGH	FUN_00428d3c	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=00428d3f
instruction	00428d3c	FUN_00428d3c	00428d3f	00428d45	FALL_THROUGH	FUN_00428d3c	bytes=81EC48020000;mnemonic=SUB;instruction=SUB ESP,0x248;inputs=ESP,0x0,0x1,0x248,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=00428d45
instruction	00428d3c	FUN_00428d3c	00428d45	00428d4b	FALL_THROUGH	FUN_00428d3c	bytes=8995B8FDFFFF;mnemonic=MOV;instruction=MOV dword ptr [EBP + 0xfffffdb8],EDX;inputs=EBP,0xfffffdb8,EDX;results=;flows=;fallthrough=00428d4b
instruction_reference	00428d3c	FUN_00428d3c	00428d45	Stack[-0x24c]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	00428d3c	FUN_00428d3c	00428d4b	00428d51	FALL_THROUGH	FUN_00428d3c	bytes=898DBCFDFFFF;mnemonic=MOV;instruction=MOV dword ptr [EBP + 0xfffffdbc],ECX;inputs=0xfffffdbc,EBP,ECX;results=;flows=;fallthrough=00428d51
instruction_reference	00428d3c	FUN_00428d3c	00428d4b	Stack[-0x248]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	00428d3c	FUN_00428d3c	00428d51	00428d57	FALL_THROUGH	FUN_00428d3c	bytes=8B85BCFDFFFF;mnemonic=MOV;instruction=MOV EAX,dword ptr [EBP + 0xfffffdbc];inputs=0xfffffdbc,EBP;results=EAX;flows=;fallthrough=00428d57
instruction_reference	00428d3c	FUN_00428d3c	00428d51	Stack[-0x248]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	00428d3c	FUN_00428d3c	00428d57	00428d59	FALL_THROUGH	FUN_00428d3c	bytes=33C9;mnemonic=XOR;instruction=XOR ECX,ECX;inputs=0x0,0x1,ECX,0xff;results=CF,PF,ECX,ZF,SF,OF;flows=;fallthrough=00428d59
instruction	00428d3c	FUN_00428d3c	00428d59	00428d5c	FALL_THROUGH	FUN_00428d3c	bytes=8A4808;mnemonic=MOV;instruction=MOV CL,byte ptr [EAX + 0x8];inputs=EAX,0x8;results=CL;flows=;fallthrough=00428d5c
instruction	00428d3c	FUN_00428d3c	00428d5c	00428d5e	FALL_THROUGH	FUN_00428d3c	bytes=85C9;mnemonic=TEST;instruction=TEST ECX,ECX;inputs=0x0,0x1,ECX,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=00428d5e
instruction	00428d3c	FUN_00428d3c	00428d5e	00428d60	CONDITIONAL_JUMP	FUN_00428d3c	bytes=7508;mnemonic=JNZ;instruction=JNZ 0x00428d68;inputs=ZF;results=;flows=00428d68;fallthrough=00428d60
instruction_reference	00428d3c	FUN_00428d3c	00428d5e	00428d68	CONDITIONAL_JUMP	LAB_00428d68	operand_index=0;primary=true;source=DEFAULT
instruction	00428d3c	FUN_00428d3c	00428d60	00428d63	FALL_THROUGH	FUN_00428d3c	bytes=83C8FF;mnemonic=OR;instruction=OR EAX,0xffffffff;inputs=0x0,EAX,0xffffffff,0x1,0xff;results=CF,EAX,PF,ZF,SF,OF;flows=;fallthrough=00428d63
instruction	00428d3c	FUN_00428d3c	00428d63		UNCONDITIONAL_JUMP	FUN_00428d3c	bytes=E953020000;mnemonic=JMP;instruction=JMP 0x00428fbb;inputs=;results=;flows=00428fbb;fallthrough=
instruction_reference	00428d3c	FUN_00428d3c	00428d63	00428fbb	UNCONDITIONAL_JUMP	LAB_00428fbb	operand_index=0;primary=true;source=DEFAULT
