record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
table_slot	005a4294	PTR_FUN_005a4294	005a4294	00493bc0	pointer	FUN_00493bc0	index=0;offset=0x0;raw=0x00493BC0;data=00493bc0
table_slot_incoming	005a4294	PTR_FUN_005a4294	004358fb	005a4294	DATA	FUN_004358da	index=0;offset=0x0;raw=0x00493BC0;data=00493bc0;owner_entry=004358da
table_slot_incoming	005a4294	PTR_FUN_005a4294	00434407	005a4294	DATA	FUN_004343a4	index=0;offset=0x0;raw=0x00493BC0;data=00493bc0;owner_entry=004343a4
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a4294	00493bc0	DATA	FUN_00493bc0	index=0;offset=0x0;raw=0x00493BC0;data=00493bc0
table_slot	005a4294	PTR_FUN_005a4294	005a4298	00492e7d	pointer	FUN_00492e7d	index=1;offset=0x4;raw=0x00492E7D;data=00492e7d
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a4298	00492e7d	DATA	FUN_00492e7d	index=1;offset=0x4;raw=0x00492E7D;data=00492e7d
table_slot	005a4294	PTR_FUN_005a4294	005a429c	004625da	pointer	FUN_004625da	index=2;offset=0x8;raw=0x004625DA;data=004625da
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a429c	004625da	DATA	FUN_004625da	index=2;offset=0x8;raw=0x004625DA;data=004625da
table_slot	005a4294	PTR_FUN_005a4294	005a42a0	00454763	pointer	FUN_00454763	index=3;offset=0xC;raw=0x00454763;data=00454763
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42a0	00454763	DATA	FUN_00454763	index=3;offset=0xC;raw=0x00454763;data=00454763
table_slot	005a4294	PTR_FUN_005a4294	005a42a4	0049ac31	pointer	FUN_0049ac31	index=4;offset=0x10;raw=0x0049AC31;data=0049ac31
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42a4	0049ac31	DATA	FUN_0049ac31	index=4;offset=0x10;raw=0x0049AC31;data=0049ac31
table_slot	005a4294	PTR_FUN_005a4294	005a42a8	00453c59	pointer	FUN_00453c59	index=5;offset=0x14;raw=0x00453C59;data=00453c59
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42a8	00453c59	DATA	FUN_00453c59	index=5;offset=0x14;raw=0x00453C59;data=00453c59
table_slot	005a4294	PTR_FUN_005a4294	005a42ac	0054ab75	pointer	FUN_0054ab75	index=6;offset=0x18;raw=0x0054AB75;data=0054ab75
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42ac	0054ab75	DATA	FUN_0054ab75	index=6;offset=0x18;raw=0x0054AB75;data=0054ab75
table_slot	005a4294	PTR_FUN_005a4294	005a42b0	0054ab84	pointer	FUN_0054ab84	index=7;offset=0x1C;raw=0x0054AB84;data=0054ab84
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42b0	0054ab84	DATA	FUN_0054ab84	index=7;offset=0x1C;raw=0x0054AB84;data=0054ab84
table_slot	005a4294	PTR_FUN_005a4294	005a42b4	004776c3	pointer	FUN_004776c3	index=8;offset=0x20;raw=0x004776C3;data=004776c3
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42b4	004776c3	DATA	FUN_004776c3	index=8;offset=0x20;raw=0x004776C3;data=004776c3
table_slot	005a4294	PTR_FUN_005a4294	005a42b8	0054aba5	pointer	FUN_0054aba5	index=9;offset=0x24;raw=0x0054ABA5;data=0054aba5
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42b8	0054aba5	DATA	FUN_0054aba5	index=9;offset=0x24;raw=0x0054ABA5;data=0054aba5
table_slot	005a4294	PTR_FUN_005a4294	005a42bc	0054abb5	pointer	FUN_0054abb5	index=10;offset=0x28;raw=0x0054ABB5;data=0054abb5
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42bc	0054abb5	DATA	FUN_0054abb5	index=10;offset=0x28;raw=0x0054ABB5;data=0054abb5
table_slot	005a4294	PTR_FUN_005a4294	005a42c0	0054abc0	pointer	FUN_0054abc0	index=11;offset=0x2C;raw=0x0054ABC0;data=0054abc0
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42c0	0054abc0	DATA	FUN_0054abc0	index=11;offset=0x2C;raw=0x0054ABC0;data=0054abc0
table_slot	005a4294	PTR_FUN_005a4294	005a42c4	0054abd6	pointer	FUN_0054abd6	index=12;offset=0x30;raw=0x0054ABD6;data=0054abd6
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42c4	0054abd6	DATA	FUN_0054abd6	index=12;offset=0x30;raw=0x0054ABD6;data=0054abd6
table_slot	005a4294	PTR_FUN_005a4294	005a42c8	0054abcb	pointer	FUN_0054abcb	index=13;offset=0x34;raw=0x0054ABCB;data=0054abcb
table_slot_outgoing	005a4294	PTR_FUN_005a4294	005a42c8	0054abcb	DATA	FUN_0054abcb	index=13;offset=0x34;raw=0x0054ABCB;data=0054abcb
table_slot	005a4294	PTR_FUN_005a4294	005a42cc	00494de0	pointer	FUN_00494de0	index=14;offset=0x38;raw=0x00494DE0;data=00494de0
