record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	0049f0e7	FUN_0049f0e7			unknown		undefined FUN_0049f0e7(void)
incoming	0049f0e7	FUN_0049f0e7	005a4500	0049f0e7	DATA		
callee	0049f0e7	FUN_0049f0e7	0049f0e7	EXTERNAL:00000071	call	MessageBoxA	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	EXTERNAL:0000007e	call	PostMessageA	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004173cf	call	FUN_004173cf	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004287c2	call	FUN_004287c2	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00428ba0	call	FUN_00428ba0	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004294a0	call	FUN_004294a0	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00430f50	call	FUN_00430f50	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00431070	call	CSimpleArray<>	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004310a0	call	FUN_004310a0	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00431159	call	FUN_00431159	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00493cf0	call	FUN_00493cf0	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0049ed58	call	FUN_0049ed58	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004a8940	call	FUN_004a8940	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004f7ea6	call	FUN_004f7ea6	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	004faf13	call	FUN_004faf13	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0051bb41	call	FUN_0051bb41	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00526cf4	call	FUN_00526cf4	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	005277a7	call	FUN_005277a7	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00532390	call	FUN_00532390	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00533dd7	call	FUN_00533dd7	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00534968	call	FUN_00534968	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00540ea3	call	FUN_00540ea3	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00541065	call	FUN_00541065	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00547890	call	FUN_00547890	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00549bbf	call	FUN_00549bbf	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0054a9e0	call	FUN_0054a9e0	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0054ac09	call	FUN_0054ac09	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0054cd07	call	FUN_0054cd07	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0054df49	call	FUN_0054df49	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0054e06c	call	FUN_0054e06c	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00552f42	call	FUN_00552f42	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0058f020	call	_memset	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0058f078	call	FUN_0058f078	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0058f0ca	call	operator_new	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0058f220	call	FUN_0058f220	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0058f62c	call	FUN_0058f62c	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	0058f716	call	FUN_0058f716	
callee	0049f0e7	FUN_0049f0e7	0049f0e7	00590a68	call	FUN_00590a68	
reference	0049f0e7	FUN_0049f0e7	0049f0ec	005a0298	DATA	LAB_005a0298	
reference	0049f0e7	FUN_0049f0e7	0049f0f1	ffdff000	READ	ExceptionList	00000000
reference	0049f0e7	FUN_0049f0e7	0049f0f8	ffdff000	WRITE	ExceptionList	00000000
reference	0049f0e7	FUN_0049f0e7	0049f10b	005b892c	READ	DAT_005b892c	0x2
reference	0049f0e7	FUN_0049f0e7	0049f114	005b92c8	DATA	s_UI\SelCharScene2.txt_005b92c8	UI\SelCharScene2.txt
reference	0049f0e7	FUN_0049f0e7	0049f12c	005b92e0	DATA	s_UI\SelCharScene.txt_005b92e0	UI\SelCharScene.txt
reference	0049f0e7	FUN_0049f0e7	0049f142	005ccf9c	READ	DAT_005ccf9c	0x0
reference	0049f0e7	FUN_0049f0e7	0049f151	005ccf9c	READ	DAT_005ccf9c	0x0
reference	0049f0e7	FUN_0049f0e7	0049f163	013b71e8	READ	DAT_013b71e8	0x0
reference	0049f0e7	FUN_0049f0e7	0049f16f	013b71e8	READ	DAT_013b71e8	0x0
reference	0049f0e7	FUN_0049f0e7	0049f17f	005b92f4	DATA	s_env\character.trn_005b92f4	env\character.trn
reference	0049f0e7	FUN_0049f0e7	0049f193	005b9308	DATA	s_env\character.dat_005b9308	env\character.dat
reference	0049f0e7	FUN_0049f0e7	0049f1a7	005b8924	WRITE	DAT_005b8924	0x800
