entry	symbol	decompile_status	decompile_file	file_present	evidence_class	research_status	next_action	textual_callers_count	textual_callers	textual_callees_count	textual_callees	source_cpp_h_references	callgraph_basis	ghidra_catalog_present	ghidra_calling_convention	ghidra_signature	ghidra_body_min	ghidra_body_max	ghidra_body_address_count	ghidra_is_thunk	ghidra_thunk_target	ghidra_direct_callers_count	ghidra_direct_callers	ghidra_direct_callees_count	ghidra_direct_callees	ghidra_incoming_ref_count	ghidra_incoming_flow_refs	ghidra_incoming_data_refs	ghidra_incoming_other_refs
00401000	FUN_00401000	ok	00401000_FUN_00401000.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	11	FUN_004011EB;FUN_00401726;FUN_004032E8;FUN_00404DD8;FUN_0040656C;FUN_00406A40;FUN_004092E3;FUN_00409B75;FUN_004209FC;FUN_004509FA;FUN_00454763	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_00401000(void)	00401000	0040104B	76	false		11	004011EB:FUN_004011eb;00401726:FUN_00401726;004032E8:FUN_004032e8;00404DD8:FUN_00404dd8;0040656C:FUN_0040656c;00406A40:FUN_00406a40;004092E3:FUN_004092e3;00409B75:FUN_00409b75;004209FC:FUN_004209fc;004509FA:FUN_004509fa;00454763:FUN_00454763	0		35	33	2	0
0040104C	FUN_0040104c	ok	0040104c_FUN_0040104c.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	6	FUN_00401466;FUN_00401AC0;FUN_00401D03;FUN_0040586F;FUN_0040833B;FUN_0040C2CD	1	FUN_0054A9E0	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_0040104c(void)	0040104C	00401151	262	false		6	00401466:FUN_00401466;00401AC0:FUN_00401ac0;00401D03:FUN_00401d03;0040586F:FUN_0040586f;0040833B:FUN_0040833b;0040C2CD:FUN_0040c2cd	1	0054A9E0:FUN_0054a9e0	6	6	0	0
00401152	FUN_00401152	ok	00401152_FUN_00401152.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	14	FUN_0040151A;FUN_00401B53;FUN_00401F85;FUN_0040621D;FUN_0040856B;FUN_0040B980;FUN_0059E880;FUN_0059E893;FUN_0059E8A6;FUN_0059E8B9;FUN_0059E8CC;FUN_0059E918;FUN_0059EAFA;FUN_0059ECB2	1	FUN_0054AA45	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_00401152(void)	00401152	0040116D	28	false		14	0040151A:FUN_0040151a;00401B53:FUN_00401b53;00401F85:FUN_00401f85;0040621D:FUN_0040621d;0040856B:FUN_0040856b;0040B980:FUN_0040b980;0059E880:Unwind@0059e880;0059E893:Unwind@0059e893;0059E8A6:Unwind@0059e8a6;0059E8B9:Unwind@0059e8b9;0059E8CC:Unwind@0059e8cc;0059E918:Unwind@0059e918;0059EAFA:Unwind@0059eafa;0059ECB2:Unwind@0059ecb2	1	0054AA45:FUN_0054aa45	14	14	0	0
0040116E	FUN_0040116e	ok	0040116e_FUN_0040116e.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	2	FUN_00403924;FUN_00403EB8	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_0040116e(void)	0040116E	004011EA	125	false		2	00403924:FUN_00403924;00403EB8:FUN_00403eb8	0		23	2	21	0
004011EB	FUN_004011eb	ok	004011eb_FUN_004011eb.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_0040656C	1	FUN_00401000	0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004011eb(void)	004011EB	00401223	57	false		1	0040656C:FUN_0040656c	1	00401000:FUN_00401000	2	2	0	0
00401224	FUN_00401224	ok	00401224_FUN_00401224.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_0040827E	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_00401224(void)	00401224	00401274	81	false		1	0040827E:FUN_0040827e	0		21	1	20	0
00401275	FUN_00401275	ok	00401275_FUN_00401275.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	2	FUN_004063A5;FUN_004097A3	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_00401275(void)	00401275	004012C5	81	false		2	004063A5:FUN_004063a5;004097A3:FUN_004097a3	0		21	2	19	0
004012C6	FUN_004012c6	ok	004012c6_FUN_004012c6.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	9	FUN_00418828;FUN_00447691;FUN_00447C73;FUN_0044AE38;FUN_0044C53F;FUN_004662C5;FUN_004A8F14;FUN_004F7482;FUN_00504A80	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004012c6(void)	004012C6	004012E4	31	false		9	00418828:FUN_00418828;00447691:FUN_00447691;00447C73:FUN_00447c73;0044AE38:FUN_0044ae38;0044C53F:FUN_0044c53f;004662C5:FUN_004662c5;004A8F14:FUN_004a8f14;004F7482:FUN_004f7482;00504A80:FUN_00504a80	0		25	25	0	0
004012E5	FUN_004012e5	ok	004012e5_FUN_004012e5.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_004A8F14	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_004012e5(void)	004012E5	00401303	31	false		1	004A8F14:FUN_004a8f14	0		2	2	0	0
00401304	FUN_00401304	ok	00401304_FUN_00401304.c	true	CORPUS_ONLY	UNMAPPED	triage-by-entrypoint-or-caller	1	FUN_00435B13	0		0	ghidra-direct-plus-exported-decompile-text	true	unknown	undefined FUN_00401304(void)	00401304	00401366	99	false		1	00435B13:FUN_00435b13	0		5	5	0	0
