entry	symbol	priority	queues	reason	research_status	evidence_class	ghidra_direct_callers_count	ghidra_direct_callees_count	ghidra_incoming_flow_refs	source_cpp_h_references
00401152	FUN_00401152	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	LOCATED	FLOW_SHEET	14	1	14	0
00401BDC	FUN_00401bdc	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	STATICALLY_EVIDENCED	PARITY_STATIC_EVIDENCE	1	0	1	0
00402F01	FUN_00402f01	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	LOCATED	FLOW_SHEET	6	10	20	0
004032E8	FUN_004032e8	0	DOCUMENTED_FIRST;NO_DIRECT_CALLER_REVIEW	já citado em handoff/ficha; fechar a evidência existente | sem caller direto reconhecido; revisar callback/vtable/import	LOCATED	FLOW_SHEET	0	4	0	0
00403924	FUN_00403924	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	STATICALLY_EVIDENCED	PARITY_STATIC_EVIDENCE	1	5	2	0
00403EB8	FUN_00403eb8	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	STATICALLY_EVIDENCED	PARITY_STATIC_EVIDENCE	1	8	2	0
00406BD7	FUN_00406bd7	0	DOCUMENTED_FIRST;NO_DIRECT_CALLER_REVIEW	já citado em handoff/ficha; fechar a evidência existente | sem caller direto reconhecido; revisar callback/vtable/import	STATICALLY_EVIDENCED	PARITY_STATIC_EVIDENCE	0	3	0	0
0040B980	FUN_0040b980	0	DOCUMENTED_FIRST;NO_DIRECT_CALLER_REVIEW	já citado em handoff/ficha; fechar a evidência existente | sem caller direto reconhecido; revisar callback/vtable/import	LOCATED	FLOW_SHEET	0	2	0	0
0040C030	FUN_0040c030	0	DOCUMENTED_FIRST;NO_DIRECT_CALLER_REVIEW	já citado em handoff/ficha; fechar a evidência existente | sem caller direto reconhecido; revisar callback/vtable/import	LOCATED	FLOW_SHEET	0	0	0	0
0040C0F0	FUN_0040c0f0	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	LOCATED	FLOW_SHEET	60	0	209	0
0040C2CD	FUN_0040c2cd	0	DOCUMENTED_FIRST	já citado em handoff/ficha; fechar a evidência existente	LOCATED	FLOW_SHEET	2	6	2	0
