path	ownership	file_kind	project_roles	main_release_win32	test_release_win32	bytes	lines	sha256	parser	raw_parse_errors	parser_normalizations	parse_errors	symbols	function_lines	preprocessor_lines	comment_lines	blank_lines	other_lines	boundary_lines	classified_lines
cmd/client/TMProject.cpp	PRODUCT	translation_unit	main:compile	compile	unlisted	450	10	b1e4a8e05de8cd8769b723859c492327d72581f3bfd4effa5c3a5df6b6c658ee	tree-sitter-cpp+legacy-normalization	0	0	0	0	0	3	6	1	0	0	10
cmd/client/TMProject.h	PRODUCT	header	main:include	include	unlisted	190	5	e80b7edea0a3c3786e3b348d6a42191cfdde6fca07f865aec86fd9fbb77a2e7f	tree-sitter-cpp+legacy-normalization	0	0	0	0	0	2	2	1	0	0	5
CommonFiles/SharedStructs.h	PRODUCT	header	main:include	include	unlisted	2126	66	0a19074e431463adf787898215ab0155dd23afd4570887c3fe5cc7248abf62d2	tree-sitter-cpp+legacy-normalization	0	0	0	0	0	50	4	12	0	0	66
Dependencies/Directx/Include/activecf.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	631	19	51e89f2713ba49aebfa0005dc9139301d52e9f1cff0f4dee22621b5ee4ff7185	boundary-only	0	0	0	0	0	0	0	6	0	13	19
Dependencies/Directx/Include/amaudio.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	1826	54	4ac97ceef5708eee4093e51d6a7b18d710ad7eaa9822c13a2e230faac2bdeb4c	boundary-only	0	0	0	0	0	0	0	13	0	41	54
Dependencies/Directx/Include/amparse.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	1065	38	c3989677b78222247898020a96ed74bfe277e63a1bc0c74f8acb160ef3d58360	boundary-only	0	0	0	0	0	0	0	7	0	31	38
Dependencies/Directx/Include/amstream.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	73261	2295	531db5b65366756c44f8868f6aad3582f3787baaed11b488aa76df02a3df4016	boundary-only	0	0	0	0	0	0	0	757	0	1538	2295
Dependencies/Directx/Include/amva.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	3974	85	0c573815e85958805df5f6cc3a5de591af9413bd3ed97fb3811116490ee2259c	boundary-only	0	0	0	0	0	0	0	17	0	68	85
Dependencies/Directx/Include/Amvideo.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	19851	433	b6ac76760870676eb3e2482aa38711cacaa6495c13dcbe837d0420823fb7a31f	boundary-only	0	0	0	0	0	0	0	84	0	349	433
Dependencies/Directx/Include/atsmedia.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	1097	34	f0c6ce455ebf3b982f48d11e20ddf28593cc2dc5776b90449448a11e5b0aac0e	boundary-only	0	0	0	0	0	0	0	9	0	25	34
Dependencies/Directx/Include/audevcod.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	1532	53	146ce761e08f94e9b2d3dd708099f8abbfcd26aa6768d33fdae7e97b5160d948	boundary-only	0	0	0	0	0	0	0	13	0	40	53
Dependencies/Directx/Include/audiodefs.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	10907	263	3120bffe50b8e749a188657eddd72af230653faf70cf0c5ea7c248bfbaffc5cf	boundary-only	0	0	0	0	0	0	0	56	0	207	263
Dependencies/Directx/Include/austream.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	20543	715	da38b35f61b5a50e3494bb7fa13f819562b27c85b6c88f55f3c62708fb7302ba	boundary-only	0	0	0	0	0	0	0	248	0	467	715
Dependencies/Directx/Include/aviriff.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	13805	402	3dd3b82f993395e2bdae544793b6f7b9247c2c4636a82663cfedc7aef55cc157	boundary-only	0	0	0	0	0	0	0	51	0	351	402
Dependencies/Directx/Include/basetsd.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	6820	332	7048efb55beccbfdc8f65eec7c6da9e62fbeca2bc27bbb61594d2e1a35cc7df4	boundary-only	0	0	0	0	0	0	0	71	0	261	332
Dependencies/Directx/Include/bdaiface.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	125594	4096	11459ec48499171eea4fcb16acbd423ee5e928089028d3e3723c2f1b2cf26f12	boundary-only	0	0	0	0	0	0	0	1424	0	2672	4096
Dependencies/Directx/Include/bdamedia.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	54539	1554	3406f4009719fcc83bcdf67f507afa7e15bc4c6e1f322a2b4135ee7f1f8b5c13	boundary-only	0	0	0	0	0	0	0	261	0	1293	1554
Dependencies/Directx/Include/Bdatif.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	53527	1750	db12e0e48f93f9eae6dfab7caf475a3e9d90cd5bddb482eb8b91141f8d24d496	boundary-only	0	0	0	0	0	0	0	612	0	1138	1750
Dependencies/Directx/Include/bdatypes.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	15486	567	719901b31cce3ec7ffbe1c5ecb5b4c0af593b44a72844e4658ec73134616af51	boundary-only	0	0	0	0	0	0	0	96	0	471	567
Dependencies/Directx/Include/comdecl.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	2715	59	2521d18ee18d78d657a56876f80c8e84d907caa3bee8c82d8c94f0983c215a0f	boundary-only	0	0	0	0	0	0	0	16	0	43	59
Dependencies/Directx/Include/comlite.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	944	26	f970f2bad71a3fe496f23bbd7fef89b1527564c02baa8cf57eaf2fd7b2386b76	boundary-only	0	0	0	0	0	0	0	5	0	21	26
Dependencies/Directx/Include/control.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	178266	5544	de769b6f5706608a719bfa5d4f5f0de7c9b932726bccc2cd10c55224e4f36d09	boundary-only	0	0	0	0	0	0	0	1751	0	3793	5544
Dependencies/Directx/Include/D2D1.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	243136	6996	fc6586b4f4b6c07540df39fff5e95924e8bb2ad8a5f2e98d559693ee64d3296d	boundary-only	0	0	0	0	0	0	0	1601	0	5395	6996
Dependencies/Directx/Include/D2D1Helper.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	25655	948	e8ee26baf7649df0c2754ed989bc09c09e7d51981dc36d615f0ffe59b6ed4c7b	boundary-only	0	0	0	0	0	0	0	123	0	825	948
Dependencies/Directx/Include/D2DBaseTypes.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	3171	145	9cfcec43a55027ecc5abe26e5fb37b936694a564088434e05d8abade6190a3b7	boundary-only	0	0	0	0	0	0	0	29	0	116	145
Dependencies/Directx/Include/D2Derr.h	THIRD_PARTY	header	unlisted	unlisted	unlisted	5555	206	68bee6ad426ec6a2b4c5d0ed4907e4813f7b40cb72c5b5b5685b051e93353436	boundary-only	0	0	0	0	0	0	0	45	0	161	206
