source_id	path	ownership	project_roles	kind	symbol	start_line	end_line	signature	signature_sha256	body_sha256	parse_clean
e11c5c8b1e1e6d91b9a6	features/macro/MacroFactory.cpp	PRODUCT	main:compile	function	MacroFactory::MacroFactory	5	7	MacroFactory::MacroFactory() : _map()	c370a961f57e3f9ccb92a93d90b90df8ddf18d7523b31d408549b6f58ac61090	8eb95bcbc154530931e15fc418c8b1fe991095671409552099ea1aa596999ede	yes
0aedbaef573322ca62ae	features/macro/MacroFactory.cpp	PRODUCT	main:compile	function	MacroFactory::getMacroLevel	12	44	Macro::MacroLevel* MacroFactory::getMacroLevel(const uint32_t level)	ac5a47423ebf6f201c2087f9fb6dc38cb381efce78a01a2de54d4cac0ebae9fa	02e85d71697339658f18ebe1b023bc2acb1d05ee973b659dc23d44d0c5974701	yes
7930865f76736d59e68f	features/macro/MacroFactory.cpp	PRODUCT	main:compile	function	MacroFactory::getAllMacroLevel	48	56	const std::vector<Macro::MacroLevel*> MacroFactory::getAllMacroLevel() const	6a1099ca2cd135211a42eaca6f4c2e1f5003ec82d013df38737a80bdee73d85e	11edff2c5ea95cd17c3230113689b5fc10836a20a88616fd3ce91c812873c23e	yes
53a9b19ddf91c0224be5	features/macro/MacroFactory.cpp	PRODUCT	main:compile	function	MacroFactory::onEvent	58	62	void MacroFactory::onEvent()	218a5ed66bcf19aab0727ea98e7a6995d9ceebbe5e24484d47be9704ec133655	48e3e706d93df6b4a4fb96153e185849737d46690b94ff34d1e228bc647500fe	yes
2490200c8d1fbe054093	features/macro/MacroFactory.h	PRODUCT	main:include	declaration	MacroFactory::MacroFactory	14	14	MacroFactory()	1d451700b9633b16c1daa660b7a4598d836f9aa2764e01d82006aeb42d054b87		yes
4df4bc201042e69edb89	features/macro/MacroFactory.h	PRODUCT	main:include	function	MacroFactory::~MacroFactory	15	15	virtual ~MacroFactory()	41548512c25c1c5ab097646f292a979fd729e79c71e181801dcd1fe9cb6bd8fd	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	yes
cd7da9ccec04c772700c	features/macro/MacroFactory.h	PRODUCT	main:include	function	MacroFactory::MacroFactory	16	16	MacroFactory(const MacroFactory&) = delete;	0a24ea976041225df8dd1a841f96bb21181f7dc91d5e3cb76382cbb7678ee183		yes
78c52a10219a98acf180	features/macro/MacroFactory.h	PRODUCT	main:include	function	MacroFactory::operator=	17	17	MacroFactory& operator=(const MacroFactory&) = delete;	ffdebaeec7d1f4397a898319c9ee1ce6c70cfb470654d33d6784e1cc76067b5d		yes
88773a657c1319a655fe	features/macro/MacroFactory.h	PRODUCT	main:include	declaration	MacroFactory::getMacroLevel	22	22	Macro::MacroLevel* getMacroLevel(const uint32_t level)	c585a7325520eab6a6d916392d5f188ffd571a32aa8e30a9766d20507349447e		yes
f329a6d2f1f289a33c8d	features/macro/MacroFactory.h	PRODUCT	main:include	declaration	MacroFactory::getAllMacroLevel	26	26	const std::vector<Macro::MacroLevel*> getAllMacroLevel() const	3146d36028f427d5a7d5b66e57504033049a7022348745fbbe1406f80fd800f5		yes
8b189ab921049325cf22	features/macro/MacroFactory.h	PRODUCT	main:include	declaration	MacroFactory::onEvent	29	29	static void onEvent()	18e7c7552cc4904f4cb05809672e615b8e82420de89b177c025d0bc9ee37b862		yes
2efa7f75d73b64dc0890	features/macro/MacroMsg.cpp	PRODUCT	main:compile	function	MacroMsg::onEvent	9	41	void MacroMsg::onEvent(const int posX, const int posY, const int Param)	788cc44510e025cec98c9468d01344f60a61d1a1dde047bc4ab189eed6aaa548	50d1c7fffa660e5f6ae0f3c7c16efd1ecd9f16ed002c0969cf3d29d8e6cccdf0	yes
a906acd30e79f5945e23	features/macro/MacroMsg.cpp	PRODUCT	main:compile	function	MacroMsg::onItemUsed	43	65	void MacroMsg::onItemUsed(const int WaterScrollId)	6614f40877566c1006ee20d464cfc7eec77eb61a1f38507e2f26f15545d6e59b	656cf3d0c45b4bd749f8480b2989154b1aad1c05f788a8a19528577f2c71d08e	yes
e28f285537bdd7dc1f70	features/macro/MacroMsg.h	PRODUCT	main:include	function	MacroMsg::MacroMsg	14	14	MacroMsg()	4f82856281f7d04ac05373207687b50e7ac4f135f63d3c490a670b962ff3ce31	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	yes
9c434959ff4edbe07e3f	features/macro/MacroMsg.h	PRODUCT	main:include	function	MacroMsg::~MacroMsg	15	15	virtual ~MacroMsg()	ba57614d1347dd84a38a0a35059bd0932be3dab23216d05d2a75b14a560cf204	44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a	yes
829240bf6a915de2d8c3	features/macro/MacroMsg.h	PRODUCT	main:include	function	MacroMsg::MacroMsg	16	16	MacroMsg(const MacroMsg&) = delete;	dcbf7000c5392d93dab0063f0d968104882ca00e84f9ae3d212e339f1a13bfcd		yes
0cb257879ebd3ff4b2bc	features/macro/MacroMsg.h	PRODUCT	main:include	function	MacroMsg::operator=	17	17	MacroMsg& operator=(const MacroMsg&) = delete;	0e112ba013b08581b6ddfdae9fa236429a4a26cf5db03ce8dd314cfe3b69d4b3		yes
b1c4dd66128061bc3f22	features/macro/MacroMsg.h	PRODUCT	main:include	declaration	MacroMsg::onEvent	22	22	void onEvent(const int posX, const int posY, const int Param)	4325a4923a516c549aa75cff6311bcb94882825fc10e0714d240f0f795c23a54		yes
89191182d2f285e5f812	features/macro/MacroMsg.h	PRODUCT	main:include	declaration	MacroMsg::onPutItem	26	26	void onPutItem(const int posX, const int posY, const int Level)	c4c9e782d8126f7a4a660f3ddf03821cc96e8ad7241b36633a2a0f8a245932f4		yes
d30272c2a6fa1908c41f	features/macro/MacroMsg.h	PRODUCT	main:include	declaration	MacroMsg::onItemUsed	30	30	void onItemUsed(const int WaterScrollId)	9851d96036e9441f8f47d548205f9eb0fb5ff951fdeed3532697542551028b68		yes
092070501c1fda60ea43	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::NewApp	31	64	NewApp::NewApp()	ec671f16dc4c6d153013999f946d51f113bb850477854a633e2ada76b50aefab	eddb44b48efcbd302c69ef3048e08f4782e9040943376f6eb65433d28c52f735	yes
06fe647d1b253d99f2b5	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::~NewApp	66	74	NewApp::~NewApp()	8d74cb9a8b4c43ac5ece0b7a2f861f0d7a59ef388cec617692ad40c8974a9665	3917d3cecc2629c414f5b808f3bd31368b86a4abcbe71b8f1b07094ba5f8fcd1	yes
00b0bdb56f6afaa96e47	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	WndProc	77	80	LRESULT CALLBACK WndProc(HWND hWnd, UINT message, WPARAM wParam, LPARAM lParam)	771c437c01eb9cd52df8a42f7932cbff4cb21521b253a9385fe3173b11c6b4e7	e3ad1fe48593515bad60dee7306b4b6a19ba06c13739744b3bea6d3f9a3339b8	yes
a4554b50ec02ebf74ba5	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::Initialize	82	405	HRESULT NewApp::Initialize(HINSTANCE hInstance, int nFull)	5461aebe2c44e7c3a290bc74242e54569b9a0ddc67d4b3b860c22f0314ec7fa1	3f47a47cee2deb24562b23b79dee82cf6027af985a9922c209711f66292a1a88	yes
4d889df9d58f6aeba1b4	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	lambda	<lambda@147:32>	147	166	[&Config]()	633d532d472a6f345902088b2d7ca69d9165a9c9d753810ae8f4a19174cb2f0c	e2103eacbc1f7f54ad4c82cb4308833d08e9c9a6ed8c1c16995378089bcd4986	yes
86d5b7f9d1ed79540b47	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::InitDevice	407	513	HRESULT NewApp::InitDevice()	437c56fe27d9f652d93e9c0f73f35e0446634630c03007fb0dfbb1f163ebb0ce	6258c047c6e4ea1df213ee7868817508816ded84c65b5170b0794c8ba969bd6f	yes
2656f5fd8c6414d1e9c2	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::InitServerName	515	542	void NewApp::InitServerName()	325230ccb4d9d76af10952c59c8233cbd31e1056b11854a42a9a5654bdb9e116	5a30958232cf5e4b40b6ef4ea8931b4b83bf9249811a8f521a2cb98d09b79a90	yes
62f469c56b62ba3f2305	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::InitMusicList	544	576	void NewApp::InitMusicList()	e4f712391fe9c0eeeb73027f52339ff7c2262bcbb5bc0532c9ff2918593e59a1	617f03818475fa967f35c5542e778e483ba3c863f1d8873a50db18c999eaa087	yes
1a71e1df84d68c990d84	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::Finalize	578	603	HRESULT NewApp::Finalize()	fea5c00cbe49f53f5c426eff011c90a69ef4a413166628097f054034f19d421a	185420423fa27976cc86bbcc3c94ba2370a127b60e0916022dd88b7abbebd15c	yes
ce9a04f5c259609b08a0	internal/app/scenes/NewApp.cpp	PRODUCT	main:compile	function	NewApp::Run	605	695	DWORD NewApp::Run()	93c14a05eb395848f28058c4a4979fbe4946323a6eff67fbc010d836152d7e3e	5ac889671db73993ec6d88a0abb89d571e9d2fff144ea9a6b257bc3f38c8b67e	yes
