item,source_name,mountdata_index,type,scale_bits,mesh0,mesh1,mesh2,skin0,skin1,skin2,sanc0,sanc1,sanc2,extra0,extra1
4190,Back_Ho_set,43,29,3FA00000,5,5,0,0,0,0,13,13,13,0,1
4191,Death_Shadow,44,31,3F800000,8,8,0,1,1,0,13,13,0,0,1
4192,Death_Shadow,45,31,3F800000,8,8,0,0,0,0,12,12,12,0,1
4193,Poison_Spider,46,48,3F4CCCCD,0,0,0,0,0,0,65535,0,0,0,1
4194,Kongkongi,47,49,3F333333,0,0,0,0,0,0,65535,0,0,0,1
4195,Kongkongi,48,49,3F333333,0,0,0,1,0,0,65535,0,0,0,1
4196,KingDom_Mount,49,31,3F666666,14,14,0,0,0,0,13,13,13,0,1
4197,KingDom_Mount,50,31,3F666666,14,14,0,1,1,0,13,13,13,0,1
4198,Wooden_horse,51,50,3F800000,0,0,0,0,0,0,13,13,13,0,1
4199,Kongkongi,52,49,3F333333,1,1,0,1,1,0,65535,0,0,0,1
4200,cat,53,51,3F800000,0,0,0,0,0,0,65535,0,0,0,1
4201,Spider,54,59,3F800000,0,0,0,0,0,0,65535,0,0,0,1
4202,Deer,55,31,3F800000,11,11,0,0,0,0,12,12,0,0,1
4203,Red_Dragon2,56,39,3F800000,1,1,0,0,0,0,12,12,0,0,1
4204,Blue_Dragon2,57,39,3F800000,2,2,0,0,0,0,12,12,0,0,1
4205,Red_Rudolph,58,31,3F800000,12,12,0,0,0,0,12,12,0,0,1
4206,Blue_Rudolph,59,31,3F800000,13,13,0,0,0,0,12,12,0,0,1
4207,NewYearCat,60,29,3F800000,6,6,0,0,0,0,13,13,0,0,1
4208,Gargoyle_Golden,61,40,3F800000,46,46,0,0,0,0,8,8,0,0,1
4209,Gargoyle_Rock,62,40,3F800000,46,46,0,1,1,0,13,13,0,0,1
4210,Ladybug,63,48,3F4CCCCD,1,1,0,0,0,0,13,13,0,0,1
4211,Arvak,64,31,3F800000,16,16,0,0,0,0,10,10,0,0,1
4212,Pogball,65,49,3F333333,3,3,0,0,0,0,13,13,0,0,1
4213,Halloween_PumpkinBat,66,20,3F000000,48,48,0,0,0,0,13,13,0,0,1
4214,Dark_Gargoyle,67,40,3F800000,46,46,46,3,3,0,6,6,6,0,1
4215,Dark_Cat,68,51,3F800000,0,0,0,1,1,1,6,6,6,0,1
4216,FirePogball,69,49,3F333333,4,4,0,0,0,0,12,12,0,0,1
4217,Dark_Dragon,70,39,3F800000,3,3,0,0,0,0,12,12,0,0,1
4218,Xmas_Wooden_horse,71,50,3F800000,1,1,0,0,0,0,13,13,0,0,1
4219,NewYearCow,72,31,3F800000,18,18,0,0,0,0,10,10,0,0,1
4220,CarnivalMount,73,31,3F800000,19,19,0,0,0,0,0,0,0,0,1
4221,CB_kongkongi,74,49,3F333333,0,0,0,5,0,0,13,0,0,0,1
4222,Maximus,75,31,3F800000,20,20,0,0,0,0,13,13,0,0,1
4223,Magma_Spider,76,59,3F800000,1,1,1,0,0,0,7,7,7,0,1
4224,Marine_kongkongi,77,49,3F333333,0,0,0,6,0,0,65535,0,0,0,1
4225,royalarena_mount,78,31,3F800000,21,21,0,0,0,0,10,10,0,0,1
4226,Noname,79,40,3F666666,48,48,48,0,0,0,9,9,9,0,1
4227,Loki,80,31,3F800000,17,17,0,0,0,0,15,15,0,0,1
4228,snow_kongkong,117,49,3F4CCCCD,7,0,0,0,0,0,13,13,0,0,1
4229,Rudol_kongkong,118,49,3F4CCCCD,8,0,0,0,0,0,13,13,0,0,1
4230,2022_Tiger,119,29,3FA00000,10,10,0,0,0,0,13,13,0,0,1
4231,FlowerRabbit,120,49,3F19999A,9,0,0,0,0,0,12,12,0,0,1
4232,EggChick,121,49,3F333333,0,0,0,10,0,0,13,0,0,0,1
4233,Barbarian_horse,122,31,3F800000,50,50,0,0,0,0,0,0,0,0,1
4234,Barbarian_Boar,123,25,3F800000,3,3,0,0,0,0,12,12,0,0,1
4235,Blazing_Rabbit,124,49,3F19999A,25,0,0,0,0,0,13,0,0,0,1
4241,Bahamut_Pogball,131,49,3F333333,17,0,0,0,0,0,12,0,0,0,1
