record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
address	00452733		00452728		instruction	FUN_00452728	
address	0047e4d6		0047e49d		instruction	FUN_0047e49d	
function	00452728	FUN_00452728			unknown		undefined FUN_00452728(void)
incoming	00452728	FUN_00452728	004540d9	00452728	UNCONDITIONAL_CALL	FUN_00453c59	
incoming	00452728	FUN_00452728	0045449c	00452728	UNCONDITIONAL_CALL	FUN_004541f3	
caller	00452728	FUN_00452728	00453c59	00452728	call	FUN_00453c59	
caller	00452728	FUN_00452728	004541f3	00452728	call	FUN_004541f3	
function	00452737	FUN_00452737			unknown		undefined FUN_00452737(void)
incoming	00452737	FUN_00452737	004540f7	00452737	UNCONDITIONAL_CALL	FUN_00453c59	
incoming	00452737	FUN_00452737	004544b6	00452737	UNCONDITIONAL_CALL	FUN_004541f3	
incoming	00452737	FUN_00452737	00470273	00452737	UNCONDITIONAL_CALL	FUN_004662c5	
caller	00452737	FUN_00452737	00453c59	00452737	call	FUN_00453c59	
caller	00452737	FUN_00452737	004541f3	00452737	call	FUN_004541f3	
caller	00452737	FUN_00452737	004662c5	00452737	call	FUN_004662c5	
function	0047e49d	FUN_0047e49d			unknown		undefined FUN_0047e49d(void)
incoming	0047e49d	FUN_0047e49d	0047942d	0047e49d	UNCONDITIONAL_CALL	FUN_004776c3	
caller	0047e49d	FUN_0047e49d	004776c3	0047e49d	call	FUN_004776c3	
callee	0047e49d	FUN_0047e49d	0047e49d	00430f50	call	FUN_00430f50	
callee	0047e49d	FUN_0047e49d	0047e49d	004cf150	call	FUN_004cf150	
callee	0047e49d	FUN_0047e49d	0047e49d	004ec9a0	call	FUN_004ec9a0	
callee	0047e49d	FUN_0047e49d	0047e49d	004ee190	call	FUN_004ee190	
callee	0047e49d	FUN_0047e49d	0047e49d	0054ac09	call	FUN_0054ac09	
callee	0047e49d	FUN_0047e49d	0047e49d	0058f0ca	call	operator_new	
callee	0047e49d	FUN_0047e49d	0047e49d	005900ce	call	_rand	
reference	0047e49d	FUN_0047e49d	0047e4a2	0059f943	DATA	LAB_0059f943	
reference	0047e49d	FUN_0047e49d	0047e4a7	ffdff000	READ	ExceptionList	00000000
reference	0047e49d	FUN_0047e49d	0047e4ae	ffdff000	WRITE	ExceptionList	00000000
reference	0047e49d	FUN_0047e49d	0047e512	005a43e4	READ	DAT_005a43e4	
reference	0047e49d	FUN_0047e49d	0047e525	005a43e0	READ	DAT_005a43e0	
reference	0047e49d	FUN_0047e49d	0047e67a	005a40ec	READ	DAT_005a40ec	
reference	0047e49d	FUN_0047e49d	0047e68b	005a40ec	READ	DAT_005a40ec	
reference	0047e49d	FUN_0047e49d	0047e721	005a40ec	READ	DAT_005a40ec	
reference	0047e49d	FUN_0047e49d	0047e732	005a40ec	READ	DAT_005a40ec	
reference	0047e49d	FUN_0047e49d	0047e8a4	0067cf38	READ	DAT_0067cf38	0x0
reference	0047e49d	FUN_0047e49d	0047e8d5	ffdff000	WRITE	ExceptionList	00000000
