record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	004b16c0	FUN_004b16c0			unknown		undefined FUN_004b16c0(void)
incoming	004b16c0	FUN_004b16c0	00494d41	004b16c0	UNCONDITIONAL_CALL	FUN_00494c00	
incoming	004b16c0	FUN_004b16c0	0055d6c5	004b16c0	UNCONDITIONAL_CALL	FUN_0055d345	
caller	004b16c0	FUN_004b16c0	00494c00	004b16c0	call	FUN_00494c00	
caller	004b16c0	FUN_004b16c0	0055d345	004b16c0	call	FUN_0055d345	
reference	004b16c0	FUN_004b16c0	004b16c9	0067cf38	READ	DAT_0067cf38	0x0
instruction	004b16c0	FUN_004b16c0	004b16c0	004b16c1	FALL_THROUGH	FUN_004b16c0	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=004b16c1
instruction	004b16c0	FUN_004b16c0	004b16c1	004b16c3	FALL_THROUGH	FUN_004b16c0	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=004b16c3
instruction	004b16c0	FUN_004b16c0	004b16c3	004b16c6	FALL_THROUGH	FUN_004b16c0	bytes=83EC28;mnemonic=SUB;instruction=SUB ESP,0x28;inputs=ESP,0x0,0x1,0x28,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=004b16c6
instruction	004b16c0	FUN_004b16c0	004b16c6	004b16c9	FALL_THROUGH	FUN_004b16c0	bytes=894DE0;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x20],ECX;inputs=EBP,ECX,0xffffffe0;results=;flows=;fallthrough=004b16c9
instruction_reference	004b16c0	FUN_004b16c0	004b16c6	Stack[-0x24]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004b16c0	FUN_004b16c0	004b16c9	004b16ce	FALL_THROUGH	FUN_004b16c0	bytes=A138CF6700;mnemonic=MOV;instruction=MOV EAX,[0x0067cf38];inputs=0067cf38;results=EAX;flows=;fallthrough=004b16ce
instruction_reference	004b16c0	FUN_004b16c0	004b16c9	0067cf38	READ	DAT_0067cf38	operand_index=1;primary=true;source=DEFAULT
instruction	004b16c0	FUN_004b16c0	004b16ce	004b16d1	FALL_THROUGH	FUN_004b16c0	bytes=8945F8;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x8],EAX;inputs=EAX,EBP,0xfffffff8;results=;flows=;fallthrough=004b16d1
instruction_reference	004b16c0	FUN_004b16c0	004b16ce	Stack[-0xc]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004b16c0	FUN_004b16c0	004b16d1	004b16d4	FALL_THROUGH	FUN_004b16c0	bytes=8B4DF8;mnemonic=MOV;instruction=MOV ECX,dword ptr [EBP + -0x8];inputs=EBP,0xfffffff8;results=ECX;flows=;fallthrough=004b16d4
instruction_reference	004b16c0	FUN_004b16c0	004b16d1	Stack[-0xc]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	004b16c0	FUN_004b16c0	004b16d4	004b16d7	FALL_THROUGH	FUN_004b16c0	bytes=894DF4;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0xc],ECX;inputs=EBP,ECX,0xfffffff4;results=;flows=;fallthrough=004b16d7
instruction_reference	004b16c0	FUN_004b16c0	004b16d4	Stack[-0x10]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004b16c0	FUN_004b16c0	004b16d7	004b16db	FALL_THROUGH	FUN_004b16c0	bytes=837DF800;mnemonic=CMP;instruction=CMP dword ptr [EBP + -0x8],0x0;inputs=0x0,0x1,EBP,0xfffffff8,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=004b16db
instruction_reference	004b16c0	FUN_004b16c0	004b16d7	Stack[-0xc]	READ		operand_index=0;primary=true;source=ANALYSIS
instruction	004b16c0	FUN_004b16c0	004b16db	004b16dd	CONDITIONAL_JUMP	FUN_004b16c0	bytes=7505;mnemonic=JNZ;instruction=JNZ 0x004b16e2;inputs=ZF;results=;flows=004b16e2;fallthrough=004b16dd
instruction_reference	004b16c0	FUN_004b16c0	004b16db	004b16e2	CONDITIONAL_JUMP	LAB_004b16e2	operand_index=0;primary=true;source=DEFAULT
instruction	004b16c0	FUN_004b16c0	004b16dd		UNCONDITIONAL_JUMP	FUN_004b16c0	bytes=E9F7000000;mnemonic=JMP;instruction=JMP 0x004b17d9;inputs=;results=;flows=004b17d9;fallthrough=
instruction_reference	004b16c0	FUN_004b16c0	004b16dd	004b17d9	UNCONDITIONAL_JUMP	LAB_004b17d9	operand_index=0;primary=true;source=DEFAULT
instruction	004b16c0	FUN_004b16c0	004b16e2	004b16e6	FALL_THROUGH	FUN_004b16c0	bytes=837DF800;mnemonic=CMP;instruction=CMP dword ptr [EBP + -0x8],0x0;inputs=0x0,0x1,EBP,0xfffffff8,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=004b16e6
instruction_reference	004b16c0	FUN_004b16c0	004b16e2	Stack[-0xc]	READ		operand_index=0;primary=true;source=ANALYSIS
