record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
address	005a45f0	PTR_FUN_005a45f0			data		004b1690
incoming	005a45f0	PTR_FUN_005a45f0	004afacc	005a45f0	DATA	FUN_004afac0	
incoming	005a45f0	PTR_FUN_005a45f0	004afbaa	005a45f0	DATA	FUN_004afba0	
nearby	005a45f0	PTR_FUN_005a45f0	005a4570	0054abc0	pointer	FUN_0054abc0	0x0054ABC0
slot_outgoing	005a4570		005a4570	0054abc0	DATA	FUN_0054abc0	
nearby	005a45f0	PTR_FUN_005a45f0	005a4574	0054abd6	pointer	FUN_0054abd6	0x0054ABD6
slot_outgoing	005a4574		005a4574	0054abd6	DATA	FUN_0054abd6	
nearby	005a45f0	PTR_FUN_005a45f0	005a4578	0054abcb	pointer	FUN_0054abcb	0x0054ABCB
slot_outgoing	005a4578		005a4578	0054abcb	DATA	FUN_0054abcb	
nearby	005a45f0	PTR_FUN_005a45f0	005a457c	00494de0	pointer	FUN_00494de0	0x00494DE0
slot_outgoing	005a457c		005a457c	00494de0	DATA	FUN_00494de0	
nearby	005a45f0	PTR_FUN_005a45f0	005a4580	00494e68	pointer	FUN_00494e68	0x00494E68
slot_outgoing	005a4580		005a4580	00494e68	DATA	FUN_00494e68	
nearby	005a45f0	PTR_FUN_005a45f0	005a4584	00494fa4	pointer	FUN_00494fa4	0x00494FA4
slot_outgoing	005a4584		005a4584	00494fa4	DATA	FUN_00494fa4	
nearby	005a45f0	PTR_FUN_005a45f0	005a4588	004974ec	pointer	FUN_004974ec	0x004974EC
slot_outgoing	005a4588		005a4588	004974ec	DATA	FUN_004974ec	
nearby	005a45f0	PTR_FUN_005a45f0	005a458c	004987e5	pointer	FUN_004987e5	0x004987E5
slot_outgoing	005a458c		005a458c	004987e5	DATA	FUN_004987e5	
nearby	005a45f0	PTR_FUN_005a45f0	005a4590	004a8f14	pointer	FUN_004a8f14	0x004A8F14
slot_outgoing	005a4590		005a4590	004a8f14	DATA	FUN_004a8f14	
nearby	005a45f0	PTR_FUN_005a45f0	005a4594	0049ad10	pointer	FUN_0049ad10	0x0049AD10
slot_outgoing	005a4594		005a4594	0049ad10	DATA	FUN_0049ad10	
nearby	005a45f0	PTR_FUN_005a45f0	005a4598	0049acdd	pointer	FUN_0049acdd	0x0049ACDD
slot_outgoing	005a4598		005a4598	0049acdd	DATA	FUN_0049acdd	
nearby	005a45f0	PTR_FUN_005a45f0	005a459c	004ac985	pointer	FUN_004ac985	0x004AC985
slot_outgoing	005a459c		005a459c	004ac985	DATA	FUN_004ac985	
nearby	005a45f0	PTR_FUN_005a45f0	005a45a0	0049ab61	pointer	FUN_0049ab61	0x0049AB61
slot_outgoing	005a45a0		005a45a0	0049ab61	DATA	FUN_0049ab61	
nearby	005a45f0	PTR_FUN_005a45f0	005a45a4	00494e10	pointer	FUN_00494e10	0x00494E10
slot_outgoing	005a45a4		005a45a4	00494e10	DATA	FUN_00494e10	
nearby	005a45f0	PTR_FUN_005a45f0	005a45a8	0049ad57	pointer	FUN_0049ad57	0x0049AD57
slot_outgoing	005a45a8		005a45a8	0049ad57	DATA	FUN_0049ad57	
nearby	005a45f0	PTR_FUN_005a45f0	005a45ac	41d80000	pointer		0x41D80000
nearby	005a45f0	PTR_FUN_005a45f0	005a45b0	41b00000	pointer		0x41B00000
nearby	005a45f0	PTR_FUN_005a45f0	005a45b4	42fc0000	pointer		0x42FC0000
nearby	005a45f0	PTR_FUN_005a45f0	005a45b8	41d00000	pointer		0x41D00000
nearby	005a45f0	PTR_FUN_005a45f0	005a45bc	42500000	pointer		0x42500000
nearby	005a45f0	PTR_FUN_005a45f0	005a45c0	43100000	pointer		0x43100000
nearby	005a45f0	PTR_FUN_005a45f0	005a45c4	43370000	pointer		0x43370000
nearby	005a45f0	PTR_FUN_005a45f0	005a45c8	00000000	pointer		0x00000000
nearby	005a45f0	PTR_FUN_005a45f0	005a45cc	3fe00000	pointer		0x3FE00000
nearby	005a45f0	PTR_FUN_005a45f0	005a45d0	004afa90	pointer	FUN_004afa90	0x004AFA90
slot_outgoing	005a45d0	PTR_FUN_005a45d0	005a45d0	004afa90	DATA	FUN_004afa90	
nearby	005a45f0	PTR_FUN_005a45f0	005a45d4	3c23d70a	pointer		0x3C23D70A
nearby	005a45f0	PTR_FUN_005a45f0	005a45d8	40600000	pointer		0x40600000
nearby	005a45f0	PTR_FUN_005a45f0	005a45dc	4096cbe4	pointer		0x4096CBE4
nearby	005a45f0	PTR_FUN_005a45f0	005a45e0	3f400000	pointer		0x3F400000
nearby	005a45f0	PTR_FUN_005a45f0	005a45e4	bf7c430e	pointer		0xBF7C430E
nearby	005a45f0	PTR_FUN_005a45f0	005a45e8	3b03126f	pointer		0x3B03126F
nearby	005a45f0	PTR_FUN_005a45f0	005a45ec	bec90fdb	pointer		0xBEC90FDB
nearby	005a45f0	PTR_FUN_005a45f0	005a45f0	004b1690	pointer	FUN_004b1690	0x004B1690
slot_outgoing	005a45f0	PTR_FUN_005a45f0	005a45f0	004b1690	DATA	FUN_004b1690	
