record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	004b29b9	FUN_004b29b9			unknown		undefined FUN_004b29b9(void)
incoming	004b29b9	FUN_004b29b9	005a4614	004b29b9	DATA		
reference	004b29b9	FUN_004b29b9	004b29c2	0067cf38	READ	DAT_0067cf38	0x0
instruction	004b29b9	FUN_004b29b9	004b29b9	004b29ba	FALL_THROUGH	FUN_004b29b9	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=004b29ba
instruction	004b29b9	FUN_004b29b9	004b29ba	004b29bc	FALL_THROUGH	FUN_004b29b9	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=004b29bc
instruction	004b29b9	FUN_004b29b9	004b29bc	004b29bf	FALL_THROUGH	FUN_004b29b9	bytes=83EC0C;mnemonic=SUB;instruction=SUB ESP,0xc;inputs=ESP,0x0,0x1,0xc,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=004b29bf
instruction	004b29b9	FUN_004b29b9	004b29bf	004b29c2	FALL_THROUGH	FUN_004b29b9	bytes=894DF4;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0xc],ECX;inputs=EBP,ECX,0xfffffff4;results=;flows=;fallthrough=004b29c2
instruction_reference	004b29b9	FUN_004b29b9	004b29bf	Stack[-0x10]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004b29b9	FUN_004b29b9	004b29c2	004b29c7	FALL_THROUGH	FUN_004b29b9	bytes=A138CF6700;mnemonic=MOV;instruction=MOV EAX,[0x0067cf38];inputs=0067cf38;results=EAX;flows=;fallthrough=004b29c7
instruction_reference	004b29b9	FUN_004b29b9	004b29c2	0067cf38	READ	DAT_0067cf38	operand_index=1;primary=true;source=DEFAULT
instruction	004b29b9	FUN_004b29b9	004b29c7	004b29ca	FALL_THROUGH	FUN_004b29b9	bytes=8945FC;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x4],EAX;inputs=EAX,0xfffffffc,EBP;results=;flows=;fallthrough=004b29ca
instruction_reference	004b29b9	FUN_004b29b9	004b29c7	Stack[-0x8]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004b29b9	FUN_004b29b9	004b29ca	004b29cd	FALL_THROUGH	FUN_004b29b9	bytes=8B4DFC;mnemonic=MOV;instruction=MOV ECX,dword ptr [EBP + -0x4];inputs=0xfffffffc,EBP;results=ECX;flows=;fallthrough=004b29cd
instruction_reference	004b29b9	FUN_004b29b9	004b29ca	Stack[-0x8]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	004b29b9	FUN_004b29b9	004b29cd	004b29d0	FALL_THROUGH	FUN_004b29b9	bytes=894DF8;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x8],ECX;inputs=EBP,ECX,0xfffffff8;results=;flows=;fallthrough=004b29d0
instruction_reference	004b29b9	FUN_004b29b9	004b29cd	Stack[-0xc]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004b29b9	FUN_004b29b9	004b29d0	004b29d4	FALL_THROUGH	FUN_004b29b9	bytes=837DFC00;mnemonic=CMP;instruction=CMP dword ptr [EBP + -0x4],0x0;inputs=0x0,0x1,0xfffffffc,EBP,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=004b29d4
instruction_reference	004b29b9	FUN_004b29b9	004b29d0	Stack[-0x8]	READ		operand_index=0;primary=true;source=ANALYSIS
instruction	004b29b9	FUN_004b29b9	004b29d4	004b29d6	CONDITIONAL_JUMP	FUN_004b29b9	bytes=7502;mnemonic=JNZ;instruction=JNZ 0x004b29d8;inputs=ZF;results=;flows=004b29d8;fallthrough=004b29d6
instruction_reference	004b29b9	FUN_004b29b9	004b29d4	004b29d8	CONDITIONAL_JUMP	LAB_004b29d8	operand_index=0;primary=true;source=DEFAULT
instruction	004b29b9	FUN_004b29b9	004b29d6		UNCONDITIONAL_JUMP	FUN_004b29b9	bytes=EB72;mnemonic=JMP;instruction=JMP 0x004b2a4a;inputs=;results=;flows=004b2a4a;fallthrough=
instruction_reference	004b29b9	FUN_004b29b9	004b29d6	004b2a4a	UNCONDITIONAL_JUMP	LAB_004b2a4a	operand_index=0;primary=true;source=DEFAULT
instruction	004b29b9	FUN_004b29b9	004b29d8	004b29db	FALL_THROUGH	FUN_004b29b9	bytes=8B55FC;mnemonic=MOV;instruction=MOV EDX,dword ptr [EBP + -0x4];inputs=0xfffffffc,EBP;results=EDX;flows=;fallthrough=004b29db
instruction_reference	004b29b9	FUN_004b29b9	004b29d8	Stack[-0x8]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	004b29b9	FUN_004b29b9	004b29db	004b29df	FALL_THROUGH	FUN_004b29b9	bytes=0FBE4214;mnemonic=MOVSX;instruction=MOVSX EAX,byte ptr [EDX + 0x14];inputs=0x14,EDX;results=EAX;flows=;fallthrough=004b29df
