record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	0055890a	FUN_0055890a			unknown		undefined FUN_0055890a(void)
callee	0055890a	FUN_0055890a	0055890a	00423b20	call	FUN_00423b20	
callee	0055890a	FUN_0055890a	0055890a	0058f078	call	FUN_0058f078	
reference	0055890a	FUN_0055890a	005589b9	00559a58	DATA	switchdataD_00559a58	0x0
reference	0055890a	FUN_0055890a	005589bf	00559a14	DATA	switchdataD_00559a14	00558e4b
reference	0055890a	FUN_0055890a	005589f0	00559b01	DATA	switchdataD_00559b01	0x0
reference	0055890a	FUN_0055890a	005589f6	00559abd	DATA	switchdataD_00559abd	0055919b
reference	0055890a	FUN_0055890a	00558a43	00559be4	DATA	switchdataD_00559be4	0x0
reference	0055890a	FUN_0055890a	00558a49	00559ba0	DATA	switchdataD_00559ba0	00558f6c
reference	0055890a	FUN_0055890a	00558a7a	00559cce	DATA	switchdataD_00559cce	0x0
reference	0055890a	FUN_0055890a	00558a80	00559c8e	DATA	switchdataD_00559c8e	00558de5
reference	0055890a	FUN_0055890a	00558acd	00559a97	DATA	BYTE_00559a97	0x10
reference	0055890a	FUN_0055890a	00558ad3	00559d7b	DATA	switchdataD_00559d7b	00558caf
reference	0055890a	FUN_0055890a	00558b1b	00559eb5	DATA	switchdataD_00559eb5	005596df
reference	0055890a	FUN_0055890a	00558b63	00559ed1	DATA	switchdataD_00559ed1	0055978e
reference	0055890a	FUN_0055890a	005599e3	005c48d0	DATA	s_sys,_Type_check_missing_type:%d_s_005c48d0	sys, Type check missing  type:%d size:%d
reference	0055890a	FUN_0055890a	005599f9	005c48fc	DATA	DAT_005c48fc	
relative_search	0055890a	FUN_0055890a		0055890a	rel32_scan		hits=0;candidates=24880;instructions=441614;errors=0
address	005599ef		0055890a		instruction	FUN_0055890a	
slot_outgoing	005599ef		005599ef	0058f078	UNCONDITIONAL_CALL	FUN_0058f078	
address	00559a05		0055890a		instruction	FUN_0055890a	
slot_outgoing	00559a05		00559a05	00423b20	UNCONDITIONAL_CALL	FUN_00423b20	
function	00423b20	FUN_00423b20			unknown		undefined FUN_00423b20(void)
incoming	00423b20	FUN_00423b20	00424e70	00423b20	UNCONDITIONAL_CALL	FUN_00424dfe	
incoming	00423b20	FUN_00423b20	00424ed0	00423b20	UNCONDITIONAL_CALL	FUN_00424dfe	
incoming	00423b20	FUN_00423b20	0042531d	00423b20	UNCONDITIONAL_CALL	FUN_00425266	
incoming	00423b20	FUN_00423b20	004253b4	00423b20	UNCONDITIONAL_CALL	FUN_00425266	
incoming	00423b20	FUN_00423b20	004241cb	00423b20	UNCONDITIONAL_CALL	FUN_00424146	
incoming	00423b20	FUN_00423b20	0042427e	00423b20	UNCONDITIONAL_CALL	FUN_00424146	
incoming	00423b20	FUN_00423b20	00553d80	00423b20	UNCONDITIONAL_CALL	FUN_00553c2b	
incoming	00423b20	FUN_00423b20	00553e65	00423b20	UNCONDITIONAL_CALL	FUN_00553c2b	
incoming	00423b20	FUN_00423b20	00553ff9	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	005540e8	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	0055414c	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	00554197	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	005543b8	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	0055441c	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	005544cf	00423b20	UNCONDITIONAL_CALL	FUN_00553eb8	
incoming	00423b20	FUN_00423b20	00559a05	00423b20	UNCONDITIONAL_CALL	FUN_0055890a	
caller	00423b20	FUN_00423b20	00424146	00423b20	call	FUN_00424146	
caller	00423b20	FUN_00423b20	00424dfe	00423b20	call	FUN_00424dfe	
caller	00423b20	FUN_00423b20	00425266	00423b20	call	FUN_00425266	
caller	00423b20	FUN_00423b20	00553c2b	00423b20	call	FUN_00553c2b	
caller	00423b20	FUN_00423b20	00553eb8	00423b20	call	FUN_00553eb8	
caller	00423b20	FUN_00423b20	0055890a	00423b20	call	FUN_0055890a	
