record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	00423b25	FUN_00423b25			unknown		undefined FUN_00423b25(void)
incoming	00423b25	FUN_00423b25	0055f80b	00423b25	UNCONDITIONAL_CALL	FUN_0055f7f9	
incoming	00423b25	FUN_00423b25	00423c30	00423b25	UNCONDITIONAL_CALL	FUN_00423c1f	
incoming	00423b25	FUN_00423b25	00423c71	00423b25	UNCONDITIONAL_CALL	FUN_00423c61	
caller	00423b25	FUN_00423b25	00423c1f	00423b25	call	FUN_00423c1f	
caller	00423b25	FUN_00423b25	00423c61	00423b25	call	FUN_00423c61	
caller	00423b25	FUN_00423b25	0055f7f9	00423b25	call	FUN_0055f7f9	
callee	00423b25	FUN_00423b25	00423b25	EXTERNAL:0000006a	call	GetVersionExA	
callee	00423b25	FUN_00423b25	00423b25	0058f020	call	_memset	
reference	00423b25	FUN_00423b25	00423b55	005a3244	READ	PTR_GetVersionExA_005a3244	001afd10
instruction	00423b25	FUN_00423b25	00423b25	00423b26	FALL_THROUGH	FUN_00423b25	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=00423b26
instruction	00423b25	FUN_00423b25	00423b26	00423b28	FALL_THROUGH	FUN_00423b25	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=00423b28
instruction	00423b25	FUN_00423b25	00423b28	00423b2e	FALL_THROUGH	FUN_00423b25	bytes=81EC94000000;mnemonic=SUB;instruction=SUB ESP,0x94;inputs=ESP,0x0,0x1,0x94,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=00423b2e
instruction	00423b25	FUN_00423b25	00423b2e	00423b33	FALL_THROUGH	FUN_00423b25	bytes=6894000000;mnemonic=PUSH;instruction=PUSH 0x94;inputs=ESP,0x94,0x4;results=ESP;flows=;fallthrough=00423b33
instruction	00423b25	FUN_00423b25	00423b33	00423b35	FALL_THROUGH	FUN_00423b25	bytes=6A00;mnemonic=PUSH;instruction=PUSH 0x0;inputs=0x0,ESP,0x4;results=ESP;flows=;fallthrough=00423b35
instruction	00423b25	FUN_00423b25	00423b35	00423b3b	FALL_THROUGH	FUN_00423b25	bytes=8D856CFFFFFF;mnemonic=LEA;instruction=LEA EAX,[EBP + 0xffffff6c];inputs=0xffffff6c,EBP;results=EAX;flows=;fallthrough=00423b3b
instruction_reference	00423b25	FUN_00423b25	00423b35	Stack[-0x98]	DATA		operand_index=0;primary=true;source=ANALYSIS
instruction	00423b25	FUN_00423b25	00423b3b	00423b3c	FALL_THROUGH	FUN_00423b25	bytes=50;mnemonic=PUSH;instruction=PUSH EAX;inputs=EAX,ESP,0x4;results=ESP;flows=;fallthrough=00423b3c
instruction	00423b25	FUN_00423b25	00423b3c	00423b41	UNCONDITIONAL_CALL	FUN_00423b25	bytes=E8DFB41600;mnemonic=CALL;instruction=CALL 0x0058f020;inputs=ESP,0x423b41,0x4;results=ESP;flows=0058f020;fallthrough=00423b41
instruction_reference	00423b25	FUN_00423b25	00423b3c	0058f020	UNCONDITIONAL_CALL	_memset	operand_index=0;primary=true;source=DEFAULT
instruction	00423b25	FUN_00423b25	00423b41	00423b44	FALL_THROUGH	FUN_00423b25	bytes=83C40C;mnemonic=ADD;instruction=ADD ESP,0xc;inputs=ESP,0x0,0x1,0xc,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=00423b44
instruction	00423b25	FUN_00423b25	00423b44	00423b4e	FALL_THROUGH	FUN_00423b25	bytes=C7856CFFFFFF94000000;mnemonic=MOV;instruction=MOV dword ptr [EBP + 0xffffff6c],0x94;inputs=0xffffff6c,EBP,0x94;results=;flows=;fallthrough=00423b4e
instruction_reference	00423b25	FUN_00423b25	00423b44	Stack[-0x98]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	00423b25	FUN_00423b25	00423b4e	00423b54	FALL_THROUGH	FUN_00423b25	bytes=8D8D6CFFFFFF;mnemonic=LEA;instruction=LEA ECX,[EBP + 0xffffff6c];inputs=0xffffff6c,EBP;results=ECX;flows=;fallthrough=00423b54
instruction_reference	00423b25	FUN_00423b25	00423b4e	Stack[-0x98]	DATA		operand_index=0;primary=true;source=ANALYSIS
instruction	00423b25	FUN_00423b25	00423b54	00423b55	FALL_THROUGH	FUN_00423b25	bytes=51;mnemonic=PUSH;instruction=PUSH ECX;inputs=ESP,ECX,0x4;results=ESP;flows=;fallthrough=00423b55
instruction	00423b25	FUN_00423b25	00423b55	00423b5b	COMPUTED_CALL	FUN_00423b25	bytes=FF1544325A00;mnemonic=CALL;instruction=CALL dword ptr [0x005a3244];inputs=ESP,005a3244,0x4,0x423b5b;results=ESP;flows=EXTERNAL:0000006a;fallthrough=00423b5b
instruction_reference	00423b25	FUN_00423b25	00423b55	005a3244	READ	PTR_GetVersionExA_005a3244	operand_index=0;primary=true;source=DEFAULT
