record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	00523b60	FUN_00523b60			unknown		undefined FUN_00523b60(void)
incoming	00523b60	FUN_00523b60	00523b4d	00523b60	UNCONDITIONAL_CALL	FUN_0052355c	
caller	00523b60	FUN_00523b60	0052355c	00523b60	call	FUN_0052355c	
callee	00523b60	FUN_00523b60	00523b60	0040bd30	call	FUN_0040bd30	
callee	00523b60	FUN_00523b60	00523b60	00430f20	call	FUN_00430f20	
callee	00523b60	FUN_00523b60	00523b60	00430f50	call	FUN_00430f50	
callee	00523b60	FUN_00523b60	00523b60	004310a0	call	FUN_004310a0	
callee	00523b60	FUN_00523b60	00523b60	004c8f70	call	FUN_004c8f70	
callee	00523b60	FUN_00523b60	00523b60	004cf150	call	FUN_004cf150	
callee	00523b60	FUN_00523b60	00523b60	004e6590	call	FUN_004e6590	
callee	00523b60	FUN_00523b60	00523b60	004ee190	call	FUN_004ee190	
callee	00523b60	FUN_00523b60	00523b60	0054ac09	call	FUN_0054ac09	
callee	00523b60	FUN_00523b60	00523b60	0058f0ca	call	operator_new	
callee	00523b60	FUN_00523b60	00523b60	0058f1f0	call	__ftol	
reference	00523b60	FUN_00523b60	00523b65	005a221a	DATA	LAB_005a221a	
reference	00523b60	FUN_00523b60	00523b6a	ffdff000	READ	ExceptionList	00000000
reference	00523b60	FUN_00523b60	00523b71	ffdff000	WRITE	ExceptionList	00000000
reference	00523b60	FUN_00523b60	00523b84	0067cf38	READ	DAT_0067cf38	0x0
reference	00523b60	FUN_00523b60	00523b94	0067cf38	READ	DAT_0067cf38	0x0
reference	00523b60	FUN_00523b60	00523be9	005a430c	READ	DAT_005a430c	
reference	00523b60	FUN_00523b60	00523cae	005a40ec	READ	DAT_005a40ec	
reference	00523b60	FUN_00523b60	00523cbf	005a415c	READ	DAT_005a415c	
reference	00523b60	FUN_00523b60	00523da6	005a40ec	READ	DAT_005a40ec	
reference	00523b60	FUN_00523b60	00523db7	005a415c	READ	DAT_005a415c	
reference	00523b60	FUN_00523b60	00523e9e	005a415c	READ	DAT_005a415c	
reference	00523b60	FUN_00523b60	0052405f	005a40ec	READ	DAT_005a40ec	
reference	00523b60	FUN_00523b60	00524070	005a40ec	READ	DAT_005a40ec	
reference	00523b60	FUN_00523b60	00524115	005a40ec	READ	DAT_005a40ec	
reference	00523b60	FUN_00523b60	00524126	005a40ec	READ	DAT_005a40ec	
reference	00523b60	FUN_00523b60	005241ff	0092e654	READ	DAT_0092e654	0x0
reference	00523b60	FUN_00523b60	00524206	0092e654	READ	DAT_0092e654	0x0
reference	00523b60	FUN_00523b60	0052426e	005a365c	READ	DAT_005a365c	
reference	00523b60	FUN_00523b60	005242ea	0092e654	READ	DAT_0092e654	0x0
reference	00523b60	FUN_00523b60	005242f2	0092e654	READ	DAT_0092e654	0x0
reference	00523b60	FUN_00523b60	00524319	ffdff000	WRITE	ExceptionList	00000000
function	0052355c	FUN_0052355c			unknown		undefined FUN_0052355c(void)
incoming	0052355c	FUN_0052355c	0049932c	0052355c	UNCONDITIONAL_CALL	FUN_0049889a	
incoming	0052355c	FUN_0052355c	004883a5	0052355c	UNCONDITIONAL_CALL	FUN_00488267	
incoming	0052355c	FUN_0052355c	00488e92	0052355c	UNCONDITIONAL_CALL	FUN_00488dd6	
incoming	0052355c	FUN_0052355c	00529c4a	0052355c	UNCONDITIONAL_CALL	FUN_00529bf8	
incoming	0052355c	FUN_0052355c	0052a0f4	0052355c	UNCONDITIONAL_CALL	FUN_00529bf8	
incoming	0052355c	FUN_0052355c	0052a6ec	0052355c	UNCONDITIONAL_CALL	FUN_00529bf8	
caller	0052355c	FUN_0052355c	00488267	0052355c	call	FUN_00488267	
caller	0052355c	FUN_0052355c	00488dd6	0052355c	call	FUN_00488dd6	
caller	0052355c	FUN_0052355c	0049889a	0052355c	call	FUN_0049889a	
caller	0052355c	FUN_0052355c	00529bf8	0052355c	call	FUN_00529bf8	
callee	0052355c	FUN_0052355c	0052355c	0040bd30	call	FUN_0040bd30	
callee	0052355c	FUN_0052355c	0052355c	00429a6d	call	FUN_00429a6d	
callee	0052355c	FUN_0052355c	0052355c	0042ad2b	call	FUN_0042ad2b	
callee	0052355c	FUN_0052355c	0052355c	00430f50	call	FUN_00430f50	
callee	0052355c	FUN_0052355c	0052355c	004310a0	call	FUN_004310a0	
callee	0052355c	FUN_0052355c	0052355c	004c8f70	call	FUN_004c8f70	
callee	0052355c	FUN_0052355c	0052355c	004d4de0	call	FUN_004d4de0	
callee	0052355c	FUN_0052355c	0052355c	004e2360	call	FUN_004e2360	
callee	0052355c	FUN_0052355c	0052355c	0051dba4	call	FUN_0051dba4	
callee	0052355c	FUN_0052355c	0052355c	00523b60	call	FUN_00523b60	
callee	0052355c	FUN_0052355c	0052355c	00524324	call	FUN_00524324	
callee	0052355c	FUN_0052355c	0052355c	0054ac09	call	FUN_0054ac09	
callee	0052355c	FUN_0052355c	0052355c	0058f0ca	call	operator_new	
reference	0052355c	FUN_0052355c	00523561	005a21a9	DATA	LAB_005a21a9	
