record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
instruction	0055ca18	FUN_0055ca18	0055ca18	0055ca19	FALL_THROUGH	FUN_0055ca18	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=0055ca19
instruction	0055ca18	FUN_0055ca18	0055ca19	0055ca1b	FALL_THROUGH	FUN_0055ca18	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=0055ca1b
instruction	0055ca18	FUN_0055ca18	0055ca1b	0055ca1d	FALL_THROUGH	FUN_0055ca18	bytes=6AFF;mnemonic=PUSH;instruction=PUSH -0x1;inputs=0xffffffff,ESP,0x4;results=ESP;flows=;fallthrough=0055ca1d
instruction	0055ca18	FUN_0055ca18	0055ca1d	0055ca22	FALL_THROUGH	FUN_0055ca18	bytes=68B52B5A00;mnemonic=PUSH;instruction=PUSH 0x5a2bb5;inputs=ESP,0x4,0x5a2bb5;results=ESP;flows=;fallthrough=0055ca22
instruction_reference	0055ca18	FUN_0055ca18	0055ca1d	005a2bb5	DATA	LAB_005a2bb5	operand_index=0;primary=true;source=ANALYSIS
instruction	0055ca18	FUN_0055ca18	0055ca22	0055ca28	FALL_THROUGH	FUN_0055ca18	bytes=64A100000000;mnemonic=MOV;instruction=MOV EAX,FS:[0x0];inputs=FS_OFFSET,0x0;results=EAX;flows=;fallthrough=0055ca28
instruction_reference	0055ca18	FUN_0055ca18	0055ca22	ffdff000	READ	ExceptionList	operand_index=1;primary=true;source=ANALYSIS
instruction	0055ca18	FUN_0055ca18	0055ca28	0055ca29	FALL_THROUGH	FUN_0055ca18	bytes=50;mnemonic=PUSH;instruction=PUSH EAX;inputs=EAX,ESP,0x4;results=ESP;flows=;fallthrough=0055ca29
instruction	0055ca18	FUN_0055ca18	0055ca29	0055ca30	FALL_THROUGH	FUN_0055ca18	bytes=64892500000000;mnemonic=MOV;instruction=MOV dword ptr FS:[0x0],ESP;inputs=FS_OFFSET,0x0,ESP;results=;flows=;fallthrough=0055ca30
instruction_reference	0055ca18	FUN_0055ca18	0055ca29	ffdff000	WRITE	ExceptionList	operand_index=0;primary=true;source=ANALYSIS
instruction	0055ca18	FUN_0055ca18	0055ca30	0055ca33	FALL_THROUGH	FUN_0055ca18	bytes=83EC6C;mnemonic=SUB;instruction=SUB ESP,0x6c;inputs=ESP,0x0,0x1,0x6c,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=0055ca33
instruction	0055ca18	FUN_0055ca18	0055ca33	0055ca36	FALL_THROUGH	FUN_0055ca18	bytes=894DA8;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x58],ECX;inputs=EBP,ECX,0xffffffa8;results=;flows=;fallthrough=0055ca36
instruction_reference	0055ca18	FUN_0055ca18	0055ca33	Stack[-0x5c]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	0055ca18	FUN_0055ca18	0055ca36	0055ca3b	FALL_THROUGH	FUN_0055ca18	bytes=6858B00200;mnemonic=PUSH;instruction=PUSH 0x2b058;inputs=ESP,0x4,0x2b058;results=ESP;flows=;fallthrough=0055ca3b
instruction	0055ca18	FUN_0055ca18	0055ca3b	0055ca40	UNCONDITIONAL_CALL	FUN_0055ca18	bytes=E88A260300;mnemonic=CALL;instruction=CALL 0x0058f0ca;inputs=ESP,0x4,0x55ca40;results=ESP;flows=0058f0ca;fallthrough=0055ca40
instruction_reference	0055ca18	FUN_0055ca18	0055ca3b	0058f0ca	UNCONDITIONAL_CALL	operator_new	operand_index=0;primary=true;source=DEFAULT
instruction	0055ca18	FUN_0055ca18	0055ca40	0055ca43	FALL_THROUGH	FUN_0055ca18	bytes=83C404;mnemonic=ADD;instruction=ADD ESP,0x4;inputs=ESP,0x0,0x1,0x4,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=0055ca43
instruction	0055ca18	FUN_0055ca18	0055ca43	0055ca46	FALL_THROUGH	FUN_0055ca18	bytes=8945E4;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x1c],EAX;inputs=EAX,EBP,0xffffffe4;results=;flows=;fallthrough=0055ca46
instruction_reference	0055ca18	FUN_0055ca18	0055ca43	Stack[-0x20]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	0055ca18	FUN_0055ca18	0055ca46	0055ca4d	FALL_THROUGH	FUN_0055ca18	bytes=C745FC00000000;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x4],0x0;inputs=0x0,0xfffffffc,EBP;results=;flows=;fallthrough=0055ca4d
instruction_reference	0055ca18	FUN_0055ca18	0055ca46	Stack[-0x8]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	0055ca18	FUN_0055ca18	0055ca4d	0055ca51	FALL_THROUGH	FUN_0055ca18	bytes=837DE400;mnemonic=CMP;instruction=CMP dword ptr [EBP + -0x1c],0x0;inputs=0x0,0x1,EBP,0xffffffe4,0xff;results=CF,PF,ZF,SF,OF;flows=;fallthrough=0055ca51
