record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	004b3500	FUN_004b3500			unknown		undefined FUN_004b3500(void)
incoming	004b3500	FUN_004b3500	005a4650	004b3500	DATA		
callee	004b3500	FUN_004b3500	004b3500	EXTERNAL:00000071	call	MessageBoxA	
callee	004b3500	FUN_004b3500	004b3500	EXTERNAL:0000007e	call	PostMessageA	
callee	004b3500	FUN_004b3500	004b3500	00431d00	call	FUN_00431d00	
callee	004b3500	FUN_004b3500	004b3500	004343a4	call	FUN_004343a4	
callee	004b3500	FUN_004b3500	004b3500	0049ee30	call	FUN_0049ee30	
callee	004b3500	FUN_004b3500	004b3500	004a8ccf	call	FUN_004a8ccf	
callee	004b3500	FUN_004b3500	004b3500	004ef8e0	call	FUN_004ef8e0	
callee	004b3500	FUN_004b3500	004b3500	0054ac09	call	FUN_0054ac09	
callee	004b3500	FUN_004b3500	004b3500	0058f0ca	call	operator_new	
reference	004b3500	FUN_004b3500	004b3505	005a047c	DATA	LAB_005a047c	
reference	004b3500	FUN_004b3500	004b350a	ffdff000	READ	ExceptionList	00000000
reference	004b3500	FUN_004b3500	004b3511	ffdff000	WRITE	ExceptionList	00000000
reference	004b3500	FUN_004b3500	004b3580	004b37a5	DATA	switchdataD_004b37a5	004b365f
reference	004b3500	FUN_004b3500	004b36ae	005b9ae0	DATA	s_Error_005b9ae0	Error
reference	004b3500	FUN_004b3500	004b36b3	005b9ae8	DATA	s_Create_Scene_Fail._005b9ae8	Create Scene Fail.
reference	004b3500	FUN_004b3500	004b36b8	013b71e0	READ	DAT_013b71e0	0x0
reference	004b3500	FUN_004b3500	004b36c2	005a3284	READ	PTR_MessageBoxA_005a3284	001b00cc
reference	004b3500	FUN_004b3500	004b36ce	013b71e0	READ	DAT_013b71e0	0x0
reference	004b3500	FUN_004b3500	004b36d8	005a32b8	READ	PTR_PostMessageA_005a32b8	001b01a2
reference	004b3500	FUN_004b3500	004b36f4	005ccec0	READ	DAT_005ccec0	0x0
reference	004b3500	FUN_004b3500	004b36fb	005ccec0	READ	DAT_005ccec0	0x0
reference	004b3500	FUN_004b3500	004b3752	005b9afc	DATA	s_Error_005b9afc	Error
reference	004b3500	FUN_004b3500	004b3757	005b9b04	DATA	s_Initialize_Scene_Fail._005b9b04	Initialize Scene Fail.
reference	004b3500	FUN_004b3500	004b375c	013b71e0	READ	DAT_013b71e0	0x0
reference	004b3500	FUN_004b3500	004b3766	005a3284	READ	PTR_MessageBoxA_005a3284	001b00cc
reference	004b3500	FUN_004b3500	004b3772	013b71e0	READ	DAT_013b71e0	0x0
reference	004b3500	FUN_004b3500	004b377b	005a32b8	READ	PTR_PostMessageA_005a32b8	001b01a2
reference	004b3500	FUN_004b3500	004b3798	ffdff000	WRITE	ExceptionList	00000000
function	004b37c9	FUN_004b37c9			unknown		undefined FUN_004b37c9(void)
incoming	004b37c9	FUN_004b37c9	005a4654	004b37c9	DATA		
reference	004b37c9	FUN_004b37c9	004b37d3	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b37e2	0067cf38	WRITE	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b383a	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b384c	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b389a	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b38ac	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b38d4	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b38f4	0067cf38	READ	DAT_0067cf38	0x0
reference	004b37c9	FUN_004b37c9	004b3925	0067cf38	READ	DAT_0067cf38	0x0
function	004b21c9	FUN_004b21c9			unknown		undefined FUN_004b21c9(void)
incoming	004b21c9	FUN_004b21c9	005a4660	004b21c9	DATA		
function	004b16c0	FUN_004b16c0			unknown		undefined FUN_004b16c0(void)
incoming	004b16c0	FUN_004b16c0	00494d41	004b16c0	UNCONDITIONAL_CALL	FUN_00494c00	
incoming	004b16c0	FUN_004b16c0	0055d6c5	004b16c0	UNCONDITIONAL_CALL	FUN_0055d345	
caller	004b16c0	FUN_004b16c0	00494c00	004b16c0	call	FUN_00494c00	
caller	004b16c0	FUN_004b16c0	0055d345	004b16c0	call	FUN_0055d345	
reference	004b16c0	FUN_004b16c0	004b16c9	0067cf38	READ	DAT_0067cf38	0x0
function	004b2155	FUN_004b2155			unknown		undefined FUN_004b2155(void)
incoming	004b2155	FUN_004b2155	004b3a2a	004b2155	UNCONDITIONAL_CALL	FUN_004b3a20	
caller	004b2155	FUN_004b2155	004b3a20	004b2155	call	FUN_004b3a20	
reference	004b2155	FUN_004b2155	004b2161	005a45fc	DATA	PTR_FUN_005a45fc	004b3a20
reference	004b2155	FUN_004b2155	004b21b0	0067cf38	WRITE	DAT_0067cf38	0x0
function	004b3a20	FUN_004b3a20			unknown		undefined FUN_004b3a20(void)
