record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	0055bc0a	FUN_0055bc0a			unknown		undefined FUN_0055bc0a(void)
incoming	0055bc0a	FUN_0055bc0a	005a6108	0055bc0a	DATA		
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:00000071	call	MessageBoxA	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:0000007b	call	ShowWindow	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:00000085	call	SetFocus	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:00000088	call	SetRect	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:0000008a	call	CreateWindowExA	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:0000008b	call	AdjustWindowRect	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:0000008c	call	RegisterClassA	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:0000008e	call	SetCursor	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:0000008f	call	LoadCursorA	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	EXTERNAL:000000aa	call	GetStockObject	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0043125a	call	FUN_0043125a	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	00431320	call	FUN_00431320	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0043192f	call	FUN_0043192f	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	004b1d64	call	FUN_004b1d64	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0054f0f2	call	FUN_0054f0f2	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0055b176	call	FUN_0055b176	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0055b299	call	FUN_0055b299	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0055b42f	call	FUN_0055b42f	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0055ca18	call	FUN_0055ca18	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0055cf8f	call	FUN_0055cf8f	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0055f24b	call	FUN_0055f24b	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0058f020	call	_memset	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0058f078	call	FUN_0058f078	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0058f0ca	call	operator_new	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0058f0f0	call	_strncpy	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0058f62c	call	FUN_0058f62c	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0058f716	call	FUN_0058f716	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	005902c0	call	_strstr	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	005909d2	call	FUN_005909d2	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	00590a06	call	FUN_00590a06	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	00590a68	call	FUN_00590a68	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0059dfe0	call	FUN_0059dfe0	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0059e010	call	FUN_0059e010	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0059e100	call	FUN_0059e100	
callee	0055bc0a	FUN_0055bc0a	0055bc0a	0059e150	call	FUN_0059e150	
reference	0055bc0a	FUN_0055bc0a	0055bc0f	005a2b5e	DATA	LAB_005a2b5e	
reference	0055bc0a	FUN_0055bc0a	0055bc14	ffdff000	READ	ExceptionList	00000000
reference	0055bc0a	FUN_0055bc0a	0055bc1b	ffdff000	WRITE	ExceptionList	00000000
reference	0055bc0a	FUN_0055bc0a	0055bc4b	013b7224	WRITE	DAT_013b7224	0x0
reference	0055bc0a	FUN_0055bc0a	0055be33	005c4c1c	DATA	DAT_005c4c1c	
reference	0055bc0a	FUN_0055bc0a	0055be38	005c4c20	DATA	s_config.txt_005c4c20	config.txt
reference	0055bc0a	FUN_0055bc0a	0055be69	005c4c2c	DATA	s_[VERSION]_%d_005c4c2c	[VERSION] %d  
reference	0055bc0a	FUN_0055bc0a	0055be84	005c4c3c	DATA	s_[RES]_%d_005c4c3c	[RES] %d  
reference	0055bc0a	FUN_0055bc0a	0055be98	005bab20	DATA	DAT_005bab20	0x1
reference	0055bc0a	FUN_0055bc0a	0055be9d	005c4c48	DATA	s_[ANIMATION]_%d_005c4c48	[ANIMATION] %d  
reference	0055bc0a	FUN_0055bc0a	0055beb1	005bab20	READ	DAT_005bab20	0x1
reference	0055bc0a	FUN_0055bc0a	0055beba	005bab20	WRITE	DAT_005bab20	0x1
reference	0055bc0a	FUN_0055bc0a	0055bec4	005bab20	READ	DAT_005bab20	0x1
reference	0055bc0a	FUN_0055bc0a	0055becd	0092e660	WRITE	DAT_0092e660	0x0
reference	0055bc0a	FUN_0055bc0a	0055bed7	0092e664	WRITE	DAT_0092e664	0x0
