record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
instruction	004afac0	FUN_004afac0	004afac0	004afac1	FALL_THROUGH	FUN_004afac0	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=004afac1
instruction	004afac0	FUN_004afac0	004afac1	004afac3	FALL_THROUGH	FUN_004afac0	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=004afac3
instruction	004afac0	FUN_004afac0	004afac3	004afac6	FALL_THROUGH	FUN_004afac0	bytes=83EC10;mnemonic=SUB;instruction=SUB ESP,0x10;inputs=ESP,0x10,0x0,0x1,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=004afac6
instruction	004afac0	FUN_004afac0	004afac6	004afac9	FALL_THROUGH	FUN_004afac0	bytes=894DF0;mnemonic=MOV;instruction=MOV dword ptr [EBP + -0x10],ECX;inputs=EBP,ECX,0xfffffff0;results=;flows=;fallthrough=004afac9
instruction_reference	004afac0	FUN_004afac0	004afac6	Stack[-0x14]	WRITE		operand_index=0;primary=true;source=ANALYSIS
instruction	004afac0	FUN_004afac0	004afac9	004afacc	FALL_THROUGH	FUN_004afac0	bytes=8B45F0;mnemonic=MOV;instruction=MOV EAX,dword ptr [EBP + -0x10];inputs=EBP,0xfffffff0;results=EAX;flows=;fallthrough=004afacc
instruction_reference	004afac0	FUN_004afac0	004afac9	Stack[-0x14]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	004afac0	FUN_004afac0	004afacc	004afad2	FALL_THROUGH	FUN_004afac0	bytes=C700F0455A00;mnemonic=MOV;instruction=MOV dword ptr [EAX],0x5a45f0;inputs=EAX,0x5a45f0;results=;flows=;fallthrough=004afad2
instruction_reference	004afac0	FUN_004afac0	004afacc	005a45f0	DATA	PTR_FUN_005a45f0	operand_index=1;primary=true;source=ANALYSIS
instruction	004afac0	FUN_004afac0	004afad2	004afad7	FALL_THROUGH	FUN_004afac0	bytes=68C0170400;mnemonic=PUSH;instruction=PUSH 0x417c0;inputs=ESP,0x417c0,0x4;results=ESP;flows=;fallthrough=004afad7
instruction	004afac0	FUN_004afac0	004afad7	004afad9	FALL_THROUGH	FUN_004afac0	bytes=6A00;mnemonic=PUSH;instruction=PUSH 0x0;inputs=0x0,ESP,0x4;results=ESP;flows=;fallthrough=004afad9
instruction	004afac0	FUN_004afac0	004afad9	004afadc	FALL_THROUGH	FUN_004afac0	bytes=8B4DF0;mnemonic=MOV;instruction=MOV ECX,dword ptr [EBP + -0x10];inputs=EBP,0xfffffff0;results=ECX;flows=;fallthrough=004afadc
instruction_reference	004afac0	FUN_004afac0	004afad9	Stack[-0x14]	READ		operand_index=1;primary=true;source=ANALYSIS
instruction	004afac0	FUN_004afac0	004afadc	004afadf	FALL_THROUGH	FUN_004afac0	bytes=83C108;mnemonic=ADD;instruction=ADD ECX,0x8;inputs=0x0,0x1,ECX,0x8,0xff;results=CF,PF,ECX,ZF,SF,OF;flows=;fallthrough=004afadf
instruction	004afac0	FUN_004afac0	004afadf	004afae0	FALL_THROUGH	FUN_004afac0	bytes=51;mnemonic=PUSH;instruction=PUSH ECX;inputs=ESP,ECX,0x4;results=ESP;flows=;fallthrough=004afae0
instruction	004afac0	FUN_004afac0	004afae0	004afae5	UNCONDITIONAL_CALL	FUN_004afac0	bytes=E83BF50D00;mnemonic=CALL;instruction=CALL 0x0058f020;inputs=ESP,0x4,0x4afae5;results=ESP;flows=0058f020;fallthrough=004afae5
instruction_reference	004afac0	FUN_004afac0	004afae0	0058f020	UNCONDITIONAL_CALL	_memset	operand_index=0;primary=true;source=DEFAULT
instruction	004afac0	FUN_004afac0	004afae5	004afae8	FALL_THROUGH	FUN_004afac0	bytes=83C40C;mnemonic=ADD;instruction=ADD ESP,0xc;inputs=ESP,0x0,0x1,0xc,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=004afae8
instruction	004afac0	FUN_004afac0	004afae8	004afaed	FALL_THROUGH	FUN_004afac0	bytes=6800600100;mnemonic=PUSH;instruction=PUSH 0x16000;inputs=ESP,0x16000,0x4;results=ESP;flows=;fallthrough=004afaed
instruction	004afac0	FUN_004afac0	004afaed	004afaef	FALL_THROUGH	FUN_004afac0	bytes=6A00;mnemonic=PUSH;instruction=PUSH 0x0;inputs=0x0,ESP,0x4;results=ESP;flows=;fallthrough=004afaef
instruction	004afac0	FUN_004afac0	004afaef	004afaf2	FALL_THROUGH	FUN_004afac0	bytes=8B55F0;mnemonic=MOV;instruction=MOV EDX,dword ptr [EBP + -0x10];inputs=EBP,0xfffffff0;results=EDX;flows=;fallthrough=004afaf2
instruction_reference	004afac0	FUN_004afac0	004afaef	Stack[-0x14]	READ		operand_index=1;primary=true;source=ANALYSIS
