record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	004481c5	FUN_004481c5			unknown		undefined FUN_004481c5(void)
incoming	004481c5	FUN_004481c5	00410e3a	004481c5	UNCONDITIONAL_CALL	FUN_00410a91	
incoming	004481c5	FUN_004481c5	0044a8ad	004481c5	UNCONDITIONAL_CALL	FUN_0044a745	
incoming	004481c5	FUN_004481c5	0044ac97	004481c5	UNCONDITIONAL_CALL	FUN_0044a9e9	
incoming	004481c5	FUN_004481c5	0047fe5d	004481c5	UNCONDITIONAL_CALL	FUN_0047fcd7	
incoming	004481c5	FUN_004481c5	004807b7	004481c5	UNCONDITIONAL_CALL	FUN_0047fcd7	
incoming	004481c5	FUN_004481c5	0044e21b	004481c5	UNCONDITIONAL_CALL	FUN_0044df53	
incoming	004481c5	FUN_004481c5	004729cb	004481c5	UNCONDITIONAL_CALL	FUN_00472966	
incoming	004481c5	FUN_004481c5	00487797	004481c5	UNCONDITIONAL_CALL	FUN_004875c0	
incoming	004481c5	FUN_004481c5	00489013	004481c5	UNCONDITIONAL_CALL	FUN_00488fff	
incoming	004481c5	FUN_004481c5	00529d05	004481c5	UNCONDITIONAL_CALL	FUN_00529bf8	
caller	004481c5	FUN_004481c5	00410a91	004481c5	call	FUN_00410a91	
caller	004481c5	FUN_004481c5	0044a745	004481c5	call	FUN_0044a745	
caller	004481c5	FUN_004481c5	0044a9e9	004481c5	call	FUN_0044a9e9	
caller	004481c5	FUN_004481c5	0044df53	004481c5	call	FUN_0044df53	
caller	004481c5	FUN_004481c5	00472966	004481c5	call	FUN_00472966	
caller	004481c5	FUN_004481c5	0047fcd7	004481c5	call	FUN_0047fcd7	
caller	004481c5	FUN_004481c5	004875c0	004481c5	call	FUN_004875c0	
caller	004481c5	FUN_004481c5	00488fff	004481c5	call	FUN_00488fff	
caller	004481c5	FUN_004481c5	00529bf8	004481c5	call	FUN_00529bf8	
callee	004481c5	FUN_004481c5	004481c5	0040c0f0	call	FUN_0040c0f0	
callee	004481c5	FUN_004481c5	004481c5	00429a6d	call	FUN_00429a6d	
callee	004481c5	FUN_004481c5	004481c5	0042ad2b	call	FUN_0042ad2b	
callee	004481c5	FUN_004481c5	004481c5	00447f6f	call	FUN_00447f6f	
callee	004481c5	FUN_004481c5	004481c5	0044ae38	call	FUN_0044ae38	
callee	004481c5	FUN_004481c5	004481c5	0044b890	call	FUN_0044b890	
callee	004481c5	FUN_004481c5	004481c5	0058f1f0	call	__ftol	
reference	004481c5	FUN_004481c5	004481ce	005b12bc	WRITE	DAT_005b12bc	-0x1
reference	004481c5	FUN_004481c5	00448225	005b892c	READ	DAT_005b892c	0x2
reference	004481c5	FUN_004481c5	0044823c	005ccec0	READ	DAT_005ccec0	0x0
reference	004481c5	FUN_004481c5	00448244	005ccec0	READ	DAT_005ccec0	0x0
reference	004481c5	FUN_004481c5	004482f7	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004481c5	FUN_004481c5	00448310	005a34a0	READ	DAT_005a34a0	
reference	004481c5	FUN_004481c5	00448322	005a34a0	READ	DAT_005a34a0	
reference	004481c5	FUN_004481c5	0044832e	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004481c5	FUN_004481c5	00448347	005a34a0	READ	DAT_005a34a0	
reference	004481c5	FUN_004481c5	00448359	005a34a0	READ	DAT_005a34a0	
reference	004481c5	FUN_004481c5	00448361	005a3670	READ	DAT_005a3670	
reference	004481c5	FUN_004481c5	00448394	005ccec0	READ	DAT_005ccec0	0x0
reference	004481c5	FUN_004481c5	0044839b	005ccec0	READ	DAT_005ccec0	0x0
reference	004481c5	FUN_004481c5	00448434	005a4358	READ	DAT_005a4358	
reference	004481c5	FUN_004481c5	0044843a	005b490c	READ	DAT_005b490c	0x3f800000
reference	004481c5	FUN_004481c5	00448445	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004481c5	FUN_004481c5	0044848e	005ccf9c	READ	DAT_005ccf9c	0x0
reference	004481c5	FUN_004481c5	004484bb	005ccf98	READ	DAT_005ccf98	0x0
reference	004481c5	FUN_004481c5	004484c6	005ccf98	READ	DAT_005ccf98	0x0
reference	004481c5	FUN_004481c5	004484db	005ccf98	READ	DAT_005ccf98	0x0
instruction	004481c5	FUN_004481c5	004481c5	004481c6	FALL_THROUGH	FUN_004481c5	bytes=55;mnemonic=PUSH;instruction=PUSH EBP;inputs=ESP,EBP,0x4;results=ESP;flows=;fallthrough=004481c6
instruction	004481c5	FUN_004481c5	004481c6	004481c8	FALL_THROUGH	FUN_004481c5	bytes=8BEC;mnemonic=MOV;instruction=MOV EBP,ESP;inputs=ESP;results=EBP;flows=;fallthrough=004481c8
instruction	004481c5	FUN_004481c5	004481c8	004481cb	FALL_THROUGH	FUN_004481c5	bytes=83EC34;mnemonic=SUB;instruction=SUB ESP,0x34;inputs=ESP,0x0,0x1,0x34,0xff;results=CF,ESP,PF,ZF,SF,OF;flows=;fallthrough=004481cb
