record	entry	name	from	to	type	symbol	value
program					sha256		8aa2f918844bce3afe21f1204f69757a443e32eb2f2f616936b1d9bfe215f593
program					image_base		00400000
function	0055dab8	FUN_0055dab8			unknown		undefined FUN_0055dab8(void)
incoming	0055dab8	FUN_0055dab8	0055faa2	0055dab8	UNCONDITIONAL_CALL	FUN_0055fa89	
caller	0055dab8	FUN_0055dab8	0055fa89	0055dab8	call	FUN_0055fa89	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:00000074	call	SendMessageA	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:0000007e	call	PostMessageA	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:0000007f	call	GetKeyState	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:0000008e	call	SetCursor	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:00000094	call	DefWindowProcA	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:00000095	call	GetKeyboardLayoutNameA	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:00000096	call	GetFocus	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:00000097	call	DestroyWindow	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:00000098	call	PostQuitMessage	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:000000a4	call	DeleteDC	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:000000a9	call	StretchBlt	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:000000ac	call	CreateCompatibleDC	
callee	0055dab8	FUN_0055dab8	0055dab8	EXTERNAL:000000af	call	SelectObject	
callee	0055dab8	FUN_0055dab8	0055dab8	00423c61	call	FUN_00423c61	
callee	0055dab8	FUN_0055dab8	0055dab8	00423d7a	call	FUN_00423d7a	
callee	0055dab8	FUN_0055dab8	0055dab8	004245db	call	FUN_004245db	
callee	0055dab8	FUN_0055dab8	0055dab8	00424642	call	FUN_00424642	
callee	0055dab8	FUN_0055dab8	0055dab8	0042550e	call	FUN_0042550e	
callee	0055dab8	FUN_0055dab8	0055dab8	00427aa8	call	FUN_00427aa8	
callee	0055dab8	FUN_0055dab8	0055dab8	00428fc1	call	FUN_00428fc1	
callee	0055dab8	FUN_0055dab8	0055dab8	004294a0	call	FUN_004294a0	
callee	0055dab8	FUN_0055dab8	0055dab8	00431159	call	FUN_00431159	
callee	0055dab8	FUN_0055dab8	0055dab8	004317fc	call	FUN_004317fc	
callee	0055dab8	FUN_0055dab8	0055dab8	0043199b	call	FUN_0043199b	
callee	0055dab8	FUN_0055dab8	0055dab8	00431c30	call	FUN_00431c30	
callee	0055dab8	FUN_0055dab8	0055dab8	004af484	call	FUN_004af484	
callee	0055dab8	FUN_0055dab8	0055dab8	004af4cc	call	FUN_004af4cc	
callee	0055dab8	FUN_0055dab8	0055dab8	004af514	call	FUN_004af514	
callee	0055dab8	FUN_0055dab8	0055dab8	004af550	call	FUN_004af550	
callee	0055dab8	FUN_0055dab8	0055dab8	004af5eb	call	FUN_004af5eb	
callee	0055dab8	FUN_0055dab8	0055dab8	004af5f6	call	FUN_004af5f6	
callee	0055dab8	FUN_0055dab8	0055dab8	004afa19	call	FUN_004afa19	
callee	0055dab8	FUN_0055dab8	0055dab8	0055ca18	call	FUN_0055ca18	
callee	0055dab8	FUN_0055dab8	0055dab8	0055ee59	call	FUN_0055ee59	
callee	0055dab8	FUN_0055dab8	0055dab8	0058f020	call	_memset	
callee	0055dab8	FUN_0055dab8	0055dab8	0058f75f	call	FUN_0058f75f	
callee	0055dab8	FUN_0055dab8	0055dab8	00590b78	call	FUN_00590b78	
callee	0055dab8	FUN_0055dab8	0055dab8	00591220	call	_strncmp	
reference	0055dab8	FUN_0055dab8	0055db2a	0055ec88	DATA	PTR_caseD_2_0055ec85+3	
reference	0055dab8	FUN_0055dab8	0055db30	0055ec6d	DATA	switchdataD_0055ec6d	0055dc34
reference	0055dab8	FUN_0055dab8	0055db5e	0055ecd0	DATA	switchdataD_0055ecd0	0x0
reference	0055dab8	FUN_0055dab8	0055db64	0055ecb4	DATA	switchdataD_0055ecb4	0055e0f3
reference	0055dab8	FUN_0055dab8	0055dbb1	0055ecf3	DATA	switchdataD_0055ecf3	0x0
reference	0055dab8	FUN_0055dab8	0055dbb7	0055ecdf	DATA	switchdataD_0055ecdf	0055e5df
reference	0055dab8	FUN_0055dab8	0055dd45	013b722c	READ	DAT_013b722c	0x0
reference	0055dab8	FUN_0055dab8	0055dda8	013b722c	READ	DAT_013b722c	0x0
reference	0055dab8	FUN_0055dab8	0055de1e	005a3290	READ	PTR_SendMessageA_005a3290	001b00fa
reference	0055dab8	FUN_0055dab8	0055de40	005a3290	READ	PTR_SendMessageA_005a3290	001b00fa
reference	0055dab8	FUN_0055dab8	0055df29	005a3310	READ	PTR_DefWindowProcA_005a3310	001b0394
reference	0055dab8	FUN_0055dab8	0055df34	005ccec8	READ	DAT_005ccec8	0x0
reference	0055dab8	FUN_0055dab8	0055df3f	005a32f8	READ	PTR_SetCursor_005a32f8	001b0296
