# Objetos permanentes do mundo, postos no mapa no boot e isentos de decay.
# Portado de InitItem.csv (W2PP RELEASE SERVER/TMSrv/run).
# index,x,y,rotacao
471,217,215,1  # Guild_Battle_Gate
471,217,221,1  # Guild_Battle_Gate
471,217,227,1  # Guild_Battle_Gate
471,217,151,1  # Guild_Battle_Gate
471,217,157,1  # Guild_Battle_Gate
471,217,163,1  # Guild_Battle_Gate
471,161,215,1  # Guild_Battle_Gate
471,161,221,1  # Guild_Battle_Gate
471,161,227,1  # Guild_Battle_Gate
471,161,151,1  # Guild_Battle_Gate
471,161,157,1  # Guild_Battle_Gate
471,161,163,1  # Guild_Battle_Gate
472,2603,1717,1  # Steel_Window
472,2603,1733,1  # Steel_Window
471,2624,1739,1  # Guild_Battle_Gate
471,2624,1731,1  # Guild_Battle_Gate
471,2624,1725,1  # Guild_Battle_Gate
471,2624,1719,1  # Guild_Battle_Gate
471,2624,1711,1  # Guild_Battle_Gate
458,2075,2015,2  # First_Gate_Key
459,2143,1985,2  # Second_Gate_Key
461,2081,1961,2  # Final_Gate_Key
464,2504,2145,1  # Orc_Castle_Final_S_Gate
468,2528,2134,2  # Orc_Castle_Final_E_Gate
462,2487,2129,1  # Orc_Castle_South_Gate
463,2518,2106,2  # Orc_Castle_East_Gate
757,2240,1270,0  # Two_Castle_Gate
758,2248,1246,2  # First_Gate
759,2262,1224,1  # Second_Gate
760,2279,1209,2  # Third_Gate
761,2265,1174,1  # Fourth_Gate
758,2230,1246,2  # First_Gate
759,2216,1224,1  # Second_Gate
760,2199,1209,2  # Third_Gate
761,2213,1174,1  # Fourth_Gate
773,1129,1707,1  # Castle_Gate
773,1116,1707,1  # Castle_Gate
773,1094,1690,1  # Castle_Gate
800,1075,1711,1  # Castle_Gate
746,1129,1717,1  # Cannon
746,1129,1713,1  # Cannon
746,1129,1702,1  # Cannon
746,1129,1698,1  # Cannon
3145,2131,2114,1  # Victory's_Tower_1
3145,3658,3111,0  # Victory's_Tower_1
3145,2489,1717,1  # Victory's_Tower_1
3145,2454,1995,3  # Victory's_Tower_1
3145,1059,1718,1  # Victory's_Tower_1
4102,4057,4008,1  # WYD_Slot_Machine
4143,2123,2144,3  # First_Gate
